#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-10T10:50:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af41ece3370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#-out=Plx
#Plx=<2
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.2	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657676601295168128|084.74774990013| 0.0276|-69.28004812463| 0.0305|   -0.0238| 0.0294|    1.811| 0.051|    0.674| 0.055|15.2592|0.0006|       |
Gaia DR2 4657676601295167104|084.74376695847| 0.0326|-69.27965328859| 0.0352|   -0.0655| 0.0365|    1.745| 0.061|    0.552| 0.072|15.8073|0.0011|       |
Gaia DR2 4657676601295169408|084.74866677841| 0.0329|-69.28416393664| 0.0329|    0.0292| 0.0337|    1.670| 0.060|    0.483| 0.063|15.8793|0.0007|       |
Gaia DR2 4657676601295169152|084.74653780983| 0.0409|-69.28637762115| 0.0426|   -0.1414| 0.0422|    1.919| 0.076|    0.556| 0.082|15.7632|0.0006|       |
Gaia DR2 4657676670014886016|084.69807467752| 0.0354|-69.29859620204| 0.0333|    0.0276| 0.0339|    1.519| 0.063|    0.660| 0.063|15.5595|0.0007|       |
Gaia DR2 4657676768755083520|084.62968185624| 0.0235|-69.26687754811| 0.0249|   -0.0761| 0.0243|    1.577| 0.043|    0.508| 0.045|15.0639|0.0005|       |
Gaia DR2 4657676669993586304|084.67485939456| 0.0474|-69.29437097161| 0.0434|   -0.0717| 0.0466|    1.478| 0.079|    0.657| 0.087|16.2608|0.0008|       |
Gaia DR2 4657676665727555712|084.67073303226| 0.0392|-69.29709009616| 0.0376|   -0.0466| 0.0392|    1.547| 0.070|    0.861| 0.074|15.9182|0.0006|       |
Gaia DR2 4657676841813314432|084.68725652910| 0.0264|-69.25316265837| 0.0312|   -0.0298| 0.0285|    1.700| 0.049|    0.492| 0.055|15.3683|0.0016|       |
Gaia DR2 4657676841813314176|084.67832172978| 0.0365|-69.26118407881| 0.0322|   -0.0233| 0.0333|    1.716| 0.066|    0.657| 0.060|15.6627|0.0008|       |
Gaia DR2 4657676841813315456|084.69048988856| 0.0465|-69.25593412907| 0.0523|   -0.1017| 0.0467|    1.372| 0.088|    0.023| 0.098|16.5396|0.0044|       |
Gaia DR2 4657676841813323648|084.71544161075| 0.0335|-69.26147690243| 0.0351|    0.0135| 0.0354|    1.745| 0.066|    0.579| 0.066|15.9313|0.0007|       |
Gaia DR2 4657676841813312000|084.68002763718| 0.0388|-69.25130429028| 0.0431|   -0.0361| 0.0414|    1.826| 0.073|    0.756| 0.080|16.3267|0.0009|       |
Gaia DR2 4657677047971763328|084.76231953572| 0.0459|-69.25000302800| 0.0507|    0.0506| 0.0489|    1.886| 0.086|    0.683| 0.097|16.6765|0.0009|       |
Gaia DR2 4657676944892567168|084.81206418790| 0.0336|-69.27165784910| 0.0361|   -0.0597| 0.0363|    1.861| 0.061|    0.533| 0.067|15.9297|0.0007|       |
Gaia DR2 4657676944892556416|084.77473160322| 0.0230|-69.27410018010| 0.0228|   -0.0460| 0.0228|    1.808| 0.041|    0.734| 0.042|12.0615|0.0011|       |
Gaia DR2 4657676979252292352|084.77510755093| 0.0397|-69.26156372686| 0.0434|   -0.0699| 0.0421|    1.667| 0.074|    0.781| 0.084|16.4302|0.0007|       |
Gaia DR2 4657676944892568960|084.81053705439| 0.0258|-69.27846154478| 0.0255|   -0.0848| 0.0256|    1.783| 0.046|    0.639| 0.049|12.2947|0.0009|       |
Gaia DR2 4657677151050975872|084.75914161894| 0.0284|-69.24147986604| 0.0263|   -0.0195| 0.0296|    1.762| 0.046|    0.602| 0.049|15.2317|0.0006|       |
Gaia DR2 4657677082331515008|084.81091379102| 0.0404|-69.25265030371| 0.0447|    0.0332| 0.0429|    1.698| 0.076|    0.468| 0.086|16.4131|0.0008|       |
Gaia DR2 4657677215431350016|084.69565281575| 0.0399|-69.25291994520| 0.0460|   -0.0073| 0.0417|    1.624| 0.073|    0.617| 0.086|16.2978|0.0010|       |
Gaia DR2 4657677456003693440|084.63922228375| 0.0352|-69.19972622712| 0.0384|   -0.0313| 0.0372|    1.547| 0.069|    0.744| 0.073|15.7504|0.0021|       |
Gaia DR2 4657677529008051328|084.58584249289| 0.0362|-69.26049980102| 0.0301|   -0.0596| 0.0318|    1.589| 0.065|    0.693| 0.059|14.8337|0.0005|       |
Gaia DR2 4657677597727500160|084.54325783294| 0.0280|-69.24269161864| 0.0300|   -0.0551| 0.0285|    1.706| 0.053|    0.549| 0.059|15.2107|0.0006|       |
Gaia DR2 4657677529008045440|084.57440282982| 0.0488|-69.26045495831| 0.0460|    0.0235| 0.0436|    1.344| 0.093|    0.467| 0.087|16.2142|0.0010|       |
Gaia DR2 4657677529008062720|084.60375636667| 0.0440|-69.26704706958| 0.0447|   -0.0487| 0.0452|    1.677| 0.080|    0.709| 0.084|16.3967|0.0055|       |
Gaia DR2 4657677563367779712|084.55711502230| 0.0455|-69.26830136654| 0.0495|    0.0220| 0.0462|    1.424| 0.087|    0.751| 0.098|16.4467|0.0008|       |
Gaia DR2 4657677735166451712|084.55156332039| 0.0311|-69.22714409788| 0.0329|   -0.0637| 0.0313|    1.738| 0.058|    0.716| 0.065|15.7094|0.0006|       |
Gaia DR2 4657677700806708480|084.52763796302| 0.0331|-69.23524883097| 0.0360|   -0.0725| 0.0335|    1.527| 0.065|    0.624| 0.070|15.8499|0.0066|       |
Gaia DR2 4657677735166452096|084.55110104321| 0.0389|-69.22788489663| 0.0413|    0.0121| 0.0401|    1.637| 0.071|    0.440| 0.081|16.1415|0.0011|       |
Gaia DR2 4657677872605372288|084.45888239374| 0.0406|-69.22617793513| 0.0431|   -0.0866| 0.0430|    1.928| 0.081|    1.111| 0.088|16.2673|0.0009|       |
Gaia DR2 4657677799543279232|084.49446689016| 0.0284|-69.23999605385| 0.0276|    0.0250| 0.0301|    1.918| 0.050|    0.571| 0.053|12.2851|0.0041| 275.44| 1.08
Gaia DR2 4657677803885916800|084.50417008328| 0.0456|-69.23935172839| 0.0500|   -0.0389| 0.0484|    1.605| 0.084|    0.707| 0.092|15.9869|0.0009|       |
Gaia DR2 4657677975684582656|084.46411040450| 0.0422|-69.21130479149| 0.0456|   -0.0432| 0.0451|    1.500| 0.082|    0.615| 0.093|16.2660|0.0009|       |
Gaia DR2 4657677906965120384|084.49171336753| 0.0325|-69.21929839861| 0.0354|   -0.0193| 0.0331|    1.707| 0.062|    0.647| 0.070|15.8634|0.0006|       |
Gaia DR2 4657677975684588672|084.47207568954| 0.0247|-69.21589605816| 0.0264|   -0.0532| 0.0271|    1.654| 0.047|    0.704| 0.053|14.6862|0.0005|       |
Gaia DR2 4657677975684578560|084.45630772278| 0.0291|-69.20918277931| 0.0304|   -0.0629| 0.0310|    1.742| 0.055|    0.588| 0.061|15.4933|0.0006|       |
Gaia DR2 4657678078763842944|084.59120848356| 0.0360|-69.21333265571| 0.0414|   -0.0092| 0.0382|    1.762| 0.069|    0.761| 0.080|15.5878|0.0008|       |
Gaia DR2 4657678078763839104|084.58746961885| 0.0314|-69.20589295712| 0.0348|    0.0058| 0.0326|    1.989| 0.059|    0.908| 0.067|15.6279|0.0010|       |
Gaia DR2 4657678147483299712|084.54821999941| 0.0438|-69.19509120091| 0.0535|    0.0486| 0.0473|    1.704| 0.089|    0.723| 0.100|16.3748|0.0010|       |
Gaia DR2 4657678250562514944|084.55538371117| 0.0315|-69.18858391743| 0.0339|   -0.0144| 0.0330|    1.637| 0.059|    0.759| 0.066|15.4228|0.0007|       |
Gaia DR2 4657678284922261120|084.57916326391| 0.0277|-69.18686123398| 0.0318|   -0.0410| 0.0292|    1.739| 0.055|    0.604| 0.061|15.4570|0.0006|       |
Gaia DR2 4657678284922259200|084.57614304209| 0.0297|-69.18509281243| 0.0334|    0.0472| 0.0310|    1.620| 0.059|    0.543| 0.064|15.4800|0.0007|       |
Gaia DR2 4657678216202797440|084.61858758672| 0.0278|-69.18864504258| 0.0344|    0.0270| 0.0304|    1.816| 0.054|    0.815| 0.071|14.4305|0.0055|       |
Gaia DR2 4657678216202808576|084.63334285201| 0.0381|-69.19572147542| 0.0437|   -0.0945| 0.0397|    1.685| 0.076|    0.659| 0.083|16.1219|0.0012|       |
Gaia DR2 4657678383671074304|084.46159960075| 0.0353|-69.19318910164| 0.0379|   -0.0017| 0.0379|    1.510| 0.067|    0.535| 0.078|15.8839|0.0007|       |
Gaia DR2 4657678388001440896|084.47913866338| 0.0442|-69.19244894221| 0.0499|    0.0125| 0.0459|    1.546| 0.086|    0.610| 0.099|16.4673|0.0011|       |
Gaia DR2 4657678319281974528|084.49607293651| 0.0192|-69.19908352701| 0.0201|   -0.0405| 0.0193|    1.623| 0.036|    0.671| 0.039|14.4824|0.0006|       |
Gaia DR2 4657678388001418752|084.44128712312| 0.0267|-69.18589598189| 0.0308|    0.0105| 0.0293|    1.788| 0.051|    0.603| 0.060|15.3333|0.0007|       |
Gaia DR2 4657678422361167360|084.46233926003| 0.0344|-69.18338798571| 0.0430|   -0.0269| 0.0350|    1.548| 0.072|    0.588| 0.084|14.8725|0.0106|       |
Gaia DR2 4657678422361151232|084.44377907871| 0.0360|-69.16901806554| 0.0389|    0.0001| 0.0375|    1.547| 0.073|    1.400| 0.078|15.9113|0.0012|       |
Gaia DR2 4657678422361160448|084.45801144568| 0.0316|-69.17440888339| 0.0341|   -0.0765| 0.0334|    1.541| 0.063|    0.823| 0.069|14.5068|0.0005|       |
Gaia DR2 4657678422361174912|084.48370153098| 0.0405|-69.17747760379| 0.0445|   -0.0095| 0.0412|    1.573| 0.081|    0.776| 0.088|16.2628|0.0013|       |
Gaia DR2 4657678388001446016|084.48426917958| 0.0201|-69.19743386841| 0.0211|   -0.0006| 0.0204|    1.735| 0.037|    0.677| 0.041|14.6313|0.0007|       |
Gaia DR2 4657678525440383104|084.47897997105| 0.0285|-69.17013678913| 0.0306|   -0.0632| 0.0290|    1.778| 0.059|    0.808| 0.060|14.8227|0.0018|       |
Gaia DR2 4657678491080993664|084.50239465169| 0.0197|-69.16153034690| 0.0205|    0.0049| 0.0191|    1.739| 0.039|    0.705| 0.039|14.0800|0.0005|       |
Gaia DR2 4657678525440364800|084.45025897414| 0.0448|-69.15730459853| 0.0419|   -0.0179| 0.0416|    1.666| 0.090|    0.678| 0.084|16.0868|0.0010|       |
Gaia DR2 4657678559800103296|084.45993512541| 0.0439|-69.14842151617| 0.0465|    0.0356| 0.0460|    1.670| 0.090|    0.511| 0.087|16.1799|0.0017|       |
Gaia DR2 4657678525440370816|084.45838846705| 0.0275|-69.16662136909| 0.0295|   -0.1387| 0.0291|    1.744| 0.054|    0.784| 0.059|14.0093|0.0004|       |
Gaia DR2 4657678525440372352|084.46393014906| 0.0231|-69.16296688755| 0.0242|   -0.0136| 0.0234|    1.674| 0.045|    0.736| 0.047|13.4691|0.0005|       |
Gaia DR2 4657678525418770944|084.47353443880| 0.0459|-69.17007464005| 0.0493|   -0.0256| 0.0463|    1.804| 0.095|    0.841| 0.099|16.3066|0.0014|       |
Gaia DR2 4657678559800108288|084.46267844111| 0.0328|-69.15940693854| 0.0322|   -0.0981| 0.0326|    1.669| 0.064|    0.912| 0.063|12.8740|0.0007|       |
Gaia DR2 4657678525440382080|084.47257696717| 0.0354|-69.17316735748| 0.0382|    0.0490| 0.0360|    1.521| 0.073|    0.552| 0.080|15.7612|0.0007|       |
Gaia DR2 4657678559800116352|084.47690406226| 0.0326|-69.16153277695| 0.0370|    0.0348| 0.0342|    1.732| 0.064|    0.754| 0.070|13.8318|0.0006|       |
Gaia DR2 4657678559800465152|084.45135715006| 0.0251|-69.15419900519| 0.0195|   -0.0487| 0.0204|    1.833| 0.049|    0.917| 0.039|13.6940|0.0014|       |
Gaia DR2 4657678559800465024|084.44915882344| 0.0344|-69.15409733029| 0.0273|   -0.0426| 0.0283|    1.529| 0.068|    0.883| 0.055|14.1218|0.0004|       |
Gaia DR2 4657678559800125952|084.49149576473| 0.0342|-69.16499843532| 0.0393|   -0.0756| 0.0349|    1.567| 0.070|    1.018| 0.075|15.4666|0.0090|       |
Gaia DR2 4657678559800466304|084.46640207660| 0.0330|-69.15576227694| 0.0271|    0.0201| 0.0268|    1.663| 0.068|    0.741| 0.051|14.5090|0.0006|       |
Gaia DR2 4657678731598937088|084.78811090134| 0.0480|-69.20287960661| 0.0460|   -0.0039| 0.0493|    1.760| 0.090|    0.396| 0.089|16.3540|0.0010|       |
Gaia DR2 4657678903397865856|084.71907919194| 0.0324|-69.19011932142| 0.0338|   -0.0067| 0.0327|    1.694| 0.064|    0.657| 0.065|15.5203|0.0010|       |
Gaia DR2 4657678937757603072|084.66156430342| 0.0332|-69.18895743267| 0.0349|    0.0170| 0.0335|    1.766| 0.068|    0.702| 0.066|15.7892|0.0009|       |
Gaia DR2 4657679006476818048|084.70792565478| 0.0349|-69.17856707936| 0.0374|   -0.0707| 0.0364|    1.583| 0.069|    0.641| 0.072|15.9596|0.0011|       |
Gaia DR2 4657679075196272128|084.67014870598| 0.0337|-69.16916132245| 0.0376|   -0.0122| 0.0361|    1.625| 0.066|    0.514| 0.073|15.7831|0.0012|       |
Gaia DR2 4657679006476824064|084.72653098820| 0.0315|-69.18615943464| 0.0344|   -0.0443| 0.0333|    1.494| 0.062|    0.499| 0.066|15.8155|0.0009|       |
Gaia DR2 4657679246994995712|084.76378637885| 0.0450|-69.15888670884| 0.0516|   -0.0373| 0.0483|    1.598| 0.091|    0.745| 0.094|16.3772|0.0021|       |
Gaia DR2 4657679350074459776|084.76344306907| 0.0406|-69.13842929428| 0.0416|   -0.1038| 0.0398|    1.518| 0.082|    0.534| 0.076|15.8481|0.0010|       |
Gaia DR2 4657679384433945344|084.78053651583| 0.0308|-69.12946394353| 0.0366|   -0.0923| 0.0338|    1.692| 0.061|    0.691| 0.062|15.3562|0.0006|       |
Gaia DR2 4657680239096972416|084.64893869113| 0.0426|-69.13881484268| 0.0453|    0.0031| 0.0431|    1.684| 0.084|    0.588| 0.087|16.0657|0.0016|       |
Gaia DR2 4657679453131840896|084.70083676503| 0.0272|-69.13636409262| 0.0284|   -0.0463| 0.0281|    1.524| 0.054|    0.619| 0.059|14.8696|0.0007|       |
Gaia DR2 4657679453153396992|084.70364666252| 0.0414|-69.14114160092| 0.0430|   -0.0180| 0.0416|    1.665| 0.080|    0.584| 0.083|16.0167|0.0017|       |
Gaia DR2 4657679487513112960|084.66195467287| 0.0367|-69.13738176632| 0.0298|    0.0181| 0.0325|    1.696| 0.064|    0.673| 0.056|12.4812|0.0017|       |
Gaia DR2 4657679487513113600|084.65577426375| 0.0391|-69.14524836021| 0.0426|   -0.0020| 0.0398|    1.845| 0.085|    0.579| 0.082|15.9184|0.0020|       |
Gaia DR2 4657679521872849664|084.66369815921| 0.0378|-69.13138548281| 0.0351|    0.0925| 0.0340|    1.810| 0.075|    0.527| 0.071|15.5220|0.0009|       |
Gaia DR2 4657679453153409792|084.72833070294| 0.0216|-69.14565505605| 0.0232|   -0.0667| 0.0231|    1.732| 0.043|    0.801| 0.045|13.9595|0.0009|       |
Gaia DR2 4657679448823010176|084.72108674817| 0.0434|-69.14025023414| 0.0460|   -0.0204| 0.0465|    1.648| 0.083|    0.623| 0.091|16.0067|0.0012|       |
Gaia DR2 4657679521872862592|084.68736401885| 0.0217|-69.13521046281| 0.0228|    0.0169| 0.0221|    1.672| 0.043|    0.657| 0.043|14.4006|0.0010|       |
Gaia DR2 4657679418793667200|084.70681637013| 0.0384|-69.15669341602| 0.0445|    0.0205| 0.0412|    1.759| 0.077|    0.645| 0.083|15.4542|0.0009|       |
Gaia DR2 4657679487513122048|084.67601178942| 0.0229|-69.14231902263| 0.0244|   -0.0183| 0.0235|    1.770| 0.045|    0.575| 0.049|14.7563|0.0013|       |
Gaia DR2 4657679487513117568|084.66970079789| 0.0376|-69.14025621766| 0.0413|    0.0171| 0.0388|    1.798| 0.076|    0.799| 0.084|15.8397|0.0012|       |
Gaia DR2 4657679521872856064|084.67579336259| 0.0353|-69.13449946264| 0.0399|   -0.0323| 0.0374|    1.462| 0.071|    0.823| 0.078|15.7150|0.0010|       |
Gaia DR2 4657679453153411840|084.73669234959| 0.0231|-69.14473271598| 0.0232|   -0.0068| 0.0236|    1.925| 0.044|    0.690| 0.044|14.8188|0.0006|       |
Gaia DR2 4657679556232618112|084.72357545375| 0.0381|-69.13657865505| 0.0415|    0.0321| 0.0410|    1.837| 0.076|    0.646| 0.082|15.5453|0.0008|       |
Gaia DR2 4657679659311708544|084.67475028034| 0.0283|-69.10826514396| 0.0284|   -0.0329| 0.0265|    1.931| 0.055|    0.778| 0.054|14.9988|0.0009|       |
Gaia DR2 4657679624951971456|084.67339418067| 0.0428|-69.11733805229| 0.0468|    0.0942| 0.0442|    1.869| 0.083|    0.578| 0.097|16.0449|0.0015|       |
Gaia DR2 4657679624951968640|084.66185447952| 0.0194|-69.11376103741| 0.0212|    0.0156| 0.0220|    1.810| 0.040|    0.640| 0.041|13.6432|0.0009|       |
Gaia DR2 4657679624951969536|084.66247419278| 0.0396|-69.11637337394| 0.0461|   -0.0086| 0.0467|    1.529| 0.078|    0.405| 0.090|15.7326|0.0013|       |
Gaia DR2 4657679659292387456|084.67507569034| 0.0533|-69.10469109694| 0.0490|    0.0364| 0.0491|    1.789| 0.093|    0.191| 0.095|15.3705|0.0027|       |
Gaia DR2 4657679659312999296|084.68003324416| 0.0387|-69.10402943402| 0.0445|    0.1933| 0.0406|    1.966| 0.073|    1.200| 0.085|13.3353|0.0007|       |
Gaia DR2 4657679586261965952|084.73182460196| 0.0351|-69.12328603466| 0.0383|   -0.1216| 0.0351|    1.797| 0.067|    0.876| 0.070|14.9902|0.0007|       |
Gaia DR2 4657679586261960064|084.70720131044| 0.0238|-69.11195848088| 0.0267|    0.0217| 0.0262|    1.745| 0.045|    0.768| 0.050|13.0349|0.0011|       |
Gaia DR2 4657679590592243328|084.71332932086| 0.0221|-69.11144379076| 0.0246|   -0.0117| 0.0230|    1.636| 0.043|    0.623| 0.047|14.3029|0.0011|       |
Gaia DR2 4657679586261967616|084.73883242185| 0.0172|-69.11937851460| 0.0190|   -0.0525| 0.0176|    1.742| 0.033|    0.855| 0.034|13.7023|0.0048|       |
Gaia DR2 4657679556232617216|084.72683096987| 0.0261|-69.13347805904| 0.0302|   -0.0405| 0.0277|    1.622| 0.051|    0.495| 0.058|14.4215|0.0013|       |
Gaia DR2 4657679655028521472|084.67392207536| 0.0250|-69.10696528049| 0.0251|   -0.0256| 0.0251|    1.610| 0.044|    0.393| 0.047|14.2098|0.0007|       |
Gaia DR2 4657679556232613632|084.72073050975| 0.0218|-69.12927703695| 0.0216|   -0.0204| 0.0206|    1.725| 0.044|    0.655| 0.042|14.2429|0.0007|       |
Gaia DR2 4657679659311801600|084.67776542356| 0.0226|-69.10997021571| 0.0237|   -0.0211| 0.0219|    1.665| 0.045|    0.674| 0.045|14.7171|0.0010|       |
Gaia DR2 4657679556232623744|084.73263700162| 0.0216|-69.13956970481| 0.0242|   -0.0091| 0.0212|    1.684| 0.044|    0.704| 0.046|14.3411|0.0009|       |
Gaia DR2 4657679624951970560|084.67021525370| 0.0322|-69.11599239573| 0.0364|    0.0394| 0.0331|    1.661| 0.064|    0.492| 0.074|15.5600|0.0009|       |
Gaia DR2 4657679556232618496|084.72541860917| 0.0238|-69.13547528368| 0.0247|   -0.0148| 0.0251|    1.781| 0.047|    0.736| 0.048|14.5184|0.0007|       |
Gaia DR2 4657679624952072704|084.68998262733| 0.0479|-69.12636732853| 0.0529|    0.1111| 0.0481|    1.523| 0.093|    0.617| 0.098|15.8815|0.0022|       |
Gaia DR2 4657679556232608256|084.70919396878| 0.0464|-69.12924199261| 0.0482|   -0.0064| 0.0452|    1.545| 0.094|    0.602| 0.094|16.2532|0.0015|       |
Gaia DR2 4657679659311707264|084.67384850837| 0.0353|-69.10783075016| 0.0390|    0.0641| 0.0358|    1.783| 0.065|    0.675| 0.073|15.2037|0.0012|       |
Gaia DR2 4657679659311706752|084.66364560318| 0.0420|-69.11083624389| 0.0458|   -0.0915| 0.0457|    1.690| 0.083|    1.141| 0.092|16.0992|0.0020|       |
Gaia DR2 4657679654981425664|084.66540809982| 0.0303|-69.10668133680| 0.0326|    0.1206| 0.0305|    1.806| 0.063|    0.331| 0.062|14.2579|0.0007|       |
Gaia DR2 4657679551902223616|084.71508843950| 0.0282|-69.13536264525| 0.0279|   -0.0968| 0.0282|    1.543| 0.054|    0.589| 0.052|11.3501|0.0042|       |
Gaia DR2 4657679624952080000|084.70058813067| 0.0454|-69.12822039173| 0.0492|    0.0752| 0.0483|    1.701| 0.091|    0.539| 0.097|16.0902|0.0015|       |
Gaia DR2 4657679654981423488|084.65938304649| 0.0360|-69.10483377468| 0.0371|   -0.0027| 0.0361|    1.729| 0.072|    0.919| 0.074|15.4134|0.0040|       |
Gaia DR2 4657679654981423744|084.66034884745| 0.0204|-69.10611321054| 0.0222|   -0.1205| 0.0209|    1.676| 0.042|    0.755| 0.044|13.5420|0.0055|       |
Gaia DR2 4657679654981424640|084.66312122933| 0.0191|-69.10591381943| 0.0181|    0.0458| 0.0185|    1.699| 0.035|    0.607| 0.034|13.2226|0.0012|       |
Gaia DR2 4657679659290074752|084.69195363155| 0.0378|-69.11562309108| 0.0438|    0.0156| 0.0399|    1.803| 0.074|    0.686| 0.085|15.4992|0.0019|       |
Gaia DR2 4657679796750732928|084.56710265337| 0.0377|-69.15462773614| 0.0403|   -0.0354| 0.0392|    1.679| 0.073|    0.745| 0.079|15.0744|0.0007|       |
Gaia DR2 4657679796750745088|084.58913521541| 0.0428|-69.16355401768| 0.0517|   -0.1021| 0.0441|    1.546| 0.086|    0.606| 0.098|16.1959|0.0017|       |
Gaia DR2 4657679758058148864|084.56669512319| 0.0346|-69.16978529133| 0.0358|    0.0343| 0.0337|    1.831| 0.068|    0.905| 0.069|12.5718|0.0144| 288.81| 2.10
Gaia DR2 4657679728031285504|084.63864532832| 0.0440|-69.16892813896| 0.0482|   -0.0737| 0.0463|    1.624| 0.088|    0.996| 0.092|16.2951|0.0032|       |
Gaia DR2 4657679865470529664|084.62813786589| 0.0411|-69.14086845242| 0.0467|    0.0284| 0.0427|    1.562| 0.093|    0.815| 0.086|15.7379|0.0011|       |
Gaia DR2 4657679934189686784|084.59281416229| 0.0323|-69.13078004240| 0.0333|    0.0411| 0.0328|    1.571| 0.062|    0.537| 0.064|15.3432|0.0010|       |
Gaia DR2 4657679831110499840|084.64097510073| 0.0189|-69.16585102200| 0.0200|    0.0038| 0.0199|    1.689| 0.036|    0.713| 0.038|14.0567|0.0004|       |
Gaia DR2 4657679865470220160|084.61423995179| 0.0424|-69.13594068791| 0.0455|    0.0651| 0.0431|    1.836| 0.087|    0.535| 0.088|15.5828|0.0016|       |
Gaia DR2 4657679831110490496|084.62172277379| 0.0381|-69.15382266990| 0.0419|    0.0044| 0.0391|    1.919| 0.077|    0.502| 0.080|15.8737|0.0011|       |
Gaia DR2 4657679826780102912|084.61126463858| 0.0417|-69.14795363770| 0.0439|    0.0126| 0.0419|    1.833| 0.085|    0.749| 0.085|13.0589|0.0057| 278.96| 0.78
Gaia DR2 4657679934189673088|084.55819233426| 0.0246|-69.12992232785| 0.0245|   -0.0567| 0.0248|    1.710| 0.047|    0.667| 0.047|13.4441|0.0005|       |
Gaia DR2 4657680037268856832|084.47584030258| 0.0306|-69.14482367965| 0.0325|    0.0085| 0.0310|    1.541| 0.061|    0.539| 0.062|15.5415|0.0007|       |
Gaia DR2 4657679964217679104|084.49786928504| 0.0273|-69.15045989161| 0.0271|   -0.0339| 0.0285|    1.721| 0.053|    0.749| 0.052|13.7286|0.0015|       |
Gaia DR2 4657680002909152640|084.54267301547| 0.0405|-69.14899439912| 0.0455|    0.0760| 0.0408|    1.722| 0.082|    0.665| 0.085|15.7682|0.0008|       |
Gaia DR2 4657679998578784384|084.51961923471| 0.0444|-69.14802099892| 0.0487|    0.0709| 0.0491|    1.598| 0.090|    0.332| 0.095|16.2401|0.0014|       |
Gaia DR2 4657680037268852608|084.46106095351| 0.0318|-69.14675769875| 0.0328|   -0.0423| 0.0334|    1.626| 0.063|    0.822| 0.062|15.5254|0.0008|       |
