#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:05:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r= 10
#-c.u=arcmin
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,bm=10.000000/10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV|deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
#----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
Gaia DR2 4657682232009454464|084.89525406145| 0.9760|-69.14414028025| 1.0039|    1.4202| 0.9013|    3.462| 2.219|    0.135| 2.444|       |
Gaia DR2 4657682266334256896|084.85287148631| 0.8670|-69.12618026485| 0.8454|   -1.8376| 0.7863|   -3.910| 1.865|   -1.036| 1.695|       |
Gaia DR2 4657682236273600000|084.86311434697| 1.0499|-69.14260465493| 1.0170|    1.1138| 0.8317|    3.792| 2.575|   -1.180| 2.196|       |
Gaia DR2 4657682266369235968|084.85440419373| 1.1557|-69.12717655846| 1.2489|   -0.1060| 1.1877|   -0.417| 2.288|    7.255| 2.448|       |
Gaia DR2 4657682232009497472|084.85445516409| 1.4368|-69.13869957764| 1.3189|   -0.6240| 1.1439|    6.834| 3.406|   -3.470| 2.883|       |
Gaia DR2 4657682266334268032|084.85564385896| 0.1903|-69.13006577839| 0.2237|   -0.1912| 0.2073|    1.164| 0.377|    0.524| 0.433|       |
Gaia DR2 4657682236273926016|084.87079734979| 6.3743|-69.14466262136| 6.1965|          |       |         |      |         |      |       |
Gaia DR2 4657682167554250496|084.90270999151|34.9372|-69.15270651380|13.8613|          |       |         |      |         |      |       |
Gaia DR2 4657682266321568000|084.87594199129| 0.2520|-69.12992845969| 0.2971|    1.5837| 0.2749|    6.837| 0.502|   15.042| 0.593|       |
Gaia DR2 4657682201913281792|084.90797437031| 0.4172|-69.13744790822| 0.4917|   -0.0246| 0.4562|    0.142| 0.829|   -0.671| 0.972|       |
Gaia DR2 4657682270653212160|084.84984078779| 0.4889|-69.12871114088| 0.5872|   -0.5917| 0.5278|    1.434| 0.970|    2.617| 1.212|       |
Gaia DR2 4657682232009432320|084.84751867236| 0.3840|-69.14341133044| 0.4192|    0.3067| 0.3837|    4.513| 0.807|    2.610| 0.849|       |
Gaia DR2 4657682266369241984|084.87342701829| 2.2970|-69.13345940940| 1.7490|          |       |         |      |         |      |       |
Gaia DR2 4657682270653217152|084.85791364360| 0.8612|-69.13378767715| 0.8768|    0.1756| 0.7292|    2.338| 1.952|    0.311| 1.860|       |
Gaia DR2 4657682232009446272|084.85224700568| 0.4507|-69.13474170498| 0.5569|   -0.2118| 0.4822|    2.241| 0.890|    3.201| 1.083|       |
Gaia DR2 4657682270653218048|084.86742339232| 0.1973|-69.12640546947| 0.2460|   -0.5028| 0.2268|    1.428| 0.387|    0.485| 0.492|       |
Gaia DR2 4657682232009506688|084.88057644872| 4.8663|-69.14167821621| 5.0482|          |       |         |      |         |      |       |
Gaia DR2 4657682232009506560|084.88077771788| 1.3883|-69.15219860543| 1.2046|   -1.5057| 1.0904|    2.238| 2.529|    3.503| 3.040|       |
Gaia DR2 4657682167553773184|084.92923749716| 2.7699|-69.15696598182|14.8892|          |       |         |      |         |      |       |
Gaia DR2 4657682232009505536|084.87773481746| 2.3854|-69.14242841544| 2.4415|          |       |         |      |         |      |       |
Gaia DR2 4657682266312931712|084.87334864654| 0.1494|-69.13071471617| 0.1805|   -0.1026| 0.1688|    1.989| 0.297|    0.345| 0.367|       |
Gaia DR2 4657682266369243136|084.87680783526| 2.8428|-69.13798921967| 2.0322|          |       |         |      |         |      |       |
Gaia DR2 4657682270632749824|084.89619222482|15.0759|-69.13330996475| 4.4902|          |       |         |      |         |      |       |
Gaia DR2 4657682266369238656|084.86341277823| 2.2940|-69.12849762543| 1.8919|          |       |         |      |         |      |       |
Gaia DR2 4657682197649697280|084.91350141640| 0.3310|-69.13736872823| 0.3836|    0.2454| 0.3496|    1.708| 0.665|    0.029| 0.798|       |
Gaia DR2 4657682232009500544|084.86453611804| 0.6926|-69.13782508007| 0.7429|   -0.8775| 0.6887|    0.295| 1.543|    0.050| 1.748|       |
Gaia DR2 4657682232009508608|084.88800986129| 1.2787|-69.15420791573| 1.0901|    0.0213| 1.1897|    4.628| 2.735|    4.918| 2.912|       |
Gaia DR2 4657682232009499520|084.86096963486| 0.5392|-69.13838429035| 0.6202|    0.5216| 0.5249|    4.075| 1.219|    2.564| 1.347|       |
Gaia DR2 4657682231974519040|084.85137314935| 0.3617|-69.13595105825| 0.4476|    0.0948| 0.3859|    1.418| 0.725|    3.364| 0.875|       |
Gaia DR2 4657682201933956736|084.91914545497| 0.6491|-69.14923837782| 0.6346|    0.3290| 0.5675|    3.789| 1.436|    0.761| 1.398|       |
Gaia DR2 4657682167574218240|084.89985060643| 0.5866|-69.15235460949| 0.6297|   -0.4264| 0.5533|    0.559| 1.306|    1.052| 1.307|       |
Gaia DR2 4657682167554051072|084.93087136149| 3.2137|-69.15521439896| 3.2937|          |       |         |      |         |      |       |
Gaia DR2 4657682201913282560|084.90673633069|15.8352|-69.14070731106| 4.4813|          |       |         |      |         |      |       |
Gaia DR2 4657682232009502208|084.87082976650| 1.0092|-69.14576182101| 1.0442|   -0.9473| 0.9505|    2.869| 2.357|    2.215| 2.458|       |
Gaia DR2 4657682163290036864|084.90754477930| 2.8851|-69.14784003024| 1.9568|          |       |         |      |         |      |       |
Gaia DR2 4657682167553773312|084.92896855092| 0.2584|-69.15666705242| 0.2808|    0.3992| 0.2678|    2.098| 0.531|   -0.036| 0.578|       |
Gaia DR2 4657682266369240064|084.86792572694| 0.9505|-69.12697137081| 1.1573|          |       |         |      |         |      |       |
Gaia DR2 4657682266369240448|084.86960415906| 1.0774|-69.13115552122| 0.9859|    0.9705| 1.0120|    4.793| 2.617|   -0.818| 2.597|       |
Gaia DR2 4657682201913286400|084.91078316804| 1.0948|-69.14597231229| 1.0538|   -0.5957| 0.8101|    0.353| 2.443|    1.193| 2.349|       |
Gaia DR2 4657682236273247744|084.89012085862| 0.0361|-69.14861983632| 0.0445|    0.0895| 0.0395|    1.623| 0.073|    0.490| 0.078|       |
Gaia DR2 4657682197649776384|084.91227633279| 6.5884|-69.14448788366| 2.2060|          |       |         |      |         |      |       |
Gaia DR2 4657682163289958272|084.89537765540| 0.3674|-69.14633775684| 0.4186|   -0.1756| 0.3966|    2.005| 0.714|    0.529| 0.846|       |
Gaia DR2 4657682266334336896|084.87866204020| 0.2205|-69.13947584513| 0.2600|   -0.0524| 0.2361|    1.797| 0.448|    0.313| 0.539|       |
Gaia DR2 4657682163289983232|084.91999073413| 0.5879|-69.15141368734| 0.6868|    0.6270| 0.5837|    2.792| 1.472|    1.420| 1.614|       |
Gaia DR2 4657682163255173760|084.89446005749| 0.2274|-69.15506554832| 0.2697|   -0.3131| 0.2299|    1.591| 0.479|    1.149| 0.551|       |
Gaia DR2 4657682236273926272|084.85274453865|13.5212|-69.13381259819| 6.3476|          |       |         |      |         |      |       |
Gaia DR2 4657682163290036096|084.90634285290| 3.1296|-69.15378030067| 2.5780|          |       |         |      |         |      |       |
Gaia DR2 4657682236273247360|084.88203344439| 0.3851|-69.15065394192| 0.4593|   -0.3083| 0.4029|    1.780| 0.836|    1.849| 1.014|       |
Gaia DR2 4657682266334335360|084.87820903527| 0.4284|-69.13565446744| 0.4808|   -0.2044| 0.4508|    2.133| 0.869|   -1.339| 1.037|       |
Gaia DR2 4657682163290034304|084.89733581760| 4.7394|-69.14488338610| 5.9679|          |       |         |      |         |      |       |
Gaia DR2 4657682163290034560|084.89779960390| 1.6436|-69.14597307496| 1.2583|   -1.4512| 1.5127|   -8.894| 4.324|   -1.723| 3.332|       |
Gaia DR2 4657682201933956480|084.90208335379| 0.7615|-69.14324093422| 0.7246|   -0.1601| 0.6619|    1.392| 1.699|   -2.399| 1.603|       |
Gaia DR2 4657682232009501184|084.86780692588| 4.6015|-69.14690156208| 3.0196|          |       |         |      |         |      |       |
Gaia DR2 4657682232009434880|084.89408166102| 0.3212|-69.14720701698| 0.3584|   -0.2135| 0.3400|    2.250| 0.640|   -0.055| 0.735|       |
Gaia DR2 4657682197615061504|084.94053890007| 1.0263|-69.14795216018| 0.9410|    1.2942| 0.7969|    1.574| 2.355|   -0.324| 2.154|       |
Gaia DR2 4657682163290125824|084.90814965739| 1.6977|-69.15205869354| 1.4089|    0.3779| 1.4015|   -2.373| 4.029|   -1.496| 3.448|       |
Gaia DR2 4657682232009433984|084.87847053023| 0.3934|-69.15083573602| 0.4378|    0.5517| 0.3985|    1.558| 0.774|   -0.856| 0.985|       |
Gaia DR2 4657682197649722880|084.92380348000| 1.1289|-69.14366643957| 0.9567|    1.5912| 0.8629|    3.991| 2.501|   -0.508| 2.076|       |
Gaia DR2 4657682266369171456|084.85689848057| 0.3486|-69.13325385460| 0.4363|    0.2511| 0.3787|    3.080| 0.691|   -0.712| 0.856|       |
Gaia DR2 4657682266369237120|084.85737622747| 6.1050|-69.12847443844| 2.7768|          |       |         |      |         |      |       |
Gaia DR2 4657682266369171840|084.86839958842| 0.2112|-69.13562338857| 0.2537|   -0.2533| 0.2349|    2.863| 0.423|    0.222| 0.539|       |
Gaia DR2 4657682266334332672|084.87402497004| 0.6582|-69.13435039280| 0.6390|    0.7320| 0.5895|    6.977| 1.486|    2.387| 1.528|       |
Gaia DR2 4657682232009508480|084.88784785034| 5.4978|-69.15057995082| 3.7063|          |       |         |      |         |      |       |
Gaia DR2 4657682163255262592|084.92254540930| 0.4278|-69.15283451257| 0.5022|   -1.5346| 0.4432|    0.226| 0.988|    3.837| 1.066|       |
Gaia DR2 4657682266369238272|084.86171340607| 4.0730|-69.13136220967| 3.4909|          |       |         |      |         |      |       |
Gaia DR2 4657682270653215488|084.86038147489| 0.0906|-69.12643572457| 0.1098|   -0.0747| 0.1027|    1.727| 0.179|    0.688| 0.225|       |
Gaia DR2 4657682266369246080|084.88600335265| 0.5330|-69.13630110993| 0.5717|    0.5426| 0.5296|    2.013| 1.118|    0.445| 1.192|       |
Gaia DR2 4657682266369173504|084.89577840352| 0.1735|-69.13294200649| 0.2041|   -0.1235| 0.1860|    1.393| 0.347|    0.689| 0.425|       |
Gaia DR2 4657682163289958784|084.91187726651| 0.1145|-69.15341087169| 0.1261|    0.0176| 0.1189|    1.545| 0.227|    1.018| 0.243|       |
Gaia DR2 4657682167553773952|084.93883854146| 0.2619|-69.15653021182| 0.2868|    0.1279| 0.2850|    2.414| 0.514|    2.121| 0.546|       |
Gaia DR2 4657682232009447040|084.85879837162| 0.7088|-69.13636875786| 0.7957|   -0.7588| 0.6888|    1.632| 1.566|    0.588| 1.816|       |
Gaia DR2 4657682266369185280|084.85795763081| 0.7305|-69.12909020412| 0.7670|    0.1736| 0.7218|    0.305| 1.559|    0.844| 1.672|       |
Gaia DR2 4657682232009447296|084.85982062098| 0.4600|-69.13765084829| 0.5658|   -0.7762| 0.4954|    1.457| 0.958|   -0.555| 1.195|       |
Gaia DR2 4657682236293479296|084.85451364835| 0.3974|-69.13677614450| 0.4918|    0.3033| 0.4191|    1.482| 0.826|    0.654| 1.026|       |
Gaia DR2 4657682266369244288|084.87878764113| 0.7018|-69.12775635690| 0.9558|          |       |         |      |         |      |       |
Gaia DR2 4657682232009509504|084.89239622484| 0.7173|-69.15352854582| 0.7820|   -0.2728| 0.6873|    4.744| 1.616|   -1.284| 1.871|       |
Gaia DR2 4657682231974587264|084.87385036046| 0.2907|-69.14022992119| 0.3433|    0.0314| 0.3138|    3.109| 0.601|    0.709| 0.753|       |
Gaia DR2 4657682231961830528|084.88878748738| 0.2310|-69.15233145705| 0.2605|   -0.3142| 0.2359|    2.079| 0.475|    0.291| 0.522|       |
Gaia DR2 4657682163255193344|084.89858160597| 0.5975|-69.15360425086| 0.6468|   -0.8431| 0.5729|    3.805| 1.334|    2.820| 1.458|       |
Gaia DR2 4657682231974534912|084.85727485311| 1.3500|-69.13536613030| 1.4467|    1.7399| 1.1981|    4.629| 2.782|  -12.656| 2.942|       |
Gaia DR2 4657682232009449088|084.86706927868| 0.8780|-69.13782720406| 0.8636|   -0.5999| 0.8053|    0.261| 1.997|    3.206| 2.054|       |
Gaia DR2 4657682236293640704|084.87382906796| 0.2531|-69.14826849307| 0.3341|    0.0381| 0.2743|    2.457| 0.555|    1.079| 0.712|       |
Gaia DR2 4657682232009448064|084.86335876466| 0.6143|-69.14034538152| 0.7035|    1.0981| 0.6002|   -2.060| 1.461|   -2.984| 1.496|       |
Gaia DR2 4657682232009447936|084.86273434146| 0.4871|-69.13945996447| 0.5640|    0.4629| 0.4680|    2.309| 1.068|    0.612| 1.143|       |
Gaia DR2 4657682236293640320|084.86403474161| 0.6339|-69.14616810853| 0.7086|   -0.6736| 0.6195|    0.394| 1.407|   -0.769| 1.525|       |
Gaia DR2 4657682266369186688|084.86434251626| 0.3001|-69.12931354498| 0.3489|    0.2225| 0.3249|    0.905| 0.618|    0.312| 0.775|       |
Gaia DR2 4657682270633477888|084.87786270719| 4.2734|-69.13244760662| 3.1688|          |       |         |      |         |      |       |
Gaia DR2 4657682197649780736|084.93301584407| 1.3597|-69.15293862083| 1.6802|   -2.6877| 1.2706|    6.290| 3.141|    3.753| 3.795|       |
Gaia DR2 4657682197649781120|084.93586996440| 1.1065|-69.14433380028| 1.1037|    0.1074| 0.9301|    6.050| 2.352|    6.065| 2.234|       |
Gaia DR2 4657682167574166656|084.93949090182| 0.7158|-69.15670021607| 1.0810|    1.7179| 0.6336|   -2.462| 1.495|  -10.189| 1.940|       |
Gaia DR2 4657682197602093312|084.93242389946| 0.1365|-69.14646624904| 0.1616|    0.1753| 0.1527|    2.057| 0.274|    0.481| 0.321|       |
Gaia DR2 4657682197615031040|084.93248287368| 0.2831|-69.15024429095| 0.3373|    0.0920| 0.3118|    1.448| 0.581|    0.946| 0.682|       |
Gaia DR2 4657682167554470400|084.91940413350| 7.5959|-69.15071334152|17.5192|          |       |         |      |         |      |       |
Gaia DR2 4657682236274010368|084.87637128117| 7.9774|-69.14966052367| 8.0592|          |       |         |      |         |      |       |
Gaia DR2 4657682197592955136|084.90059281269| 0.0400|-69.13713687262| 0.0471|    0.0200| 0.0449|    2.062| 0.077|    0.969| 0.087|       |
Gaia DR2 4657682197649724032|084.93045718737| 0.9275|-69.14204986634| 0.8728|    1.2707| 0.7692|    6.681| 2.083|    3.653| 2.065|       |
Gaia DR2 4657682163290038656|084.91689102415| 1.2806|-69.15235900526| 1.0898|    0.6838| 0.9805|    3.120| 2.961|    1.538| 2.502|       |
Gaia DR2 4657682197649780480|084.93239556647| 1.6538|-69.14891252620| 1.2557|          |       |         |      |         |      |       |
Gaia DR2 4657682197649716992|084.89861707123| 0.6707|-69.14205686684| 0.6704|    0.1221| 0.6186|    0.664| 1.594|    1.513| 1.456|       |
Gaia DR2 4657682197649716480|084.89719182805| 0.3600|-69.14087341572| 0.4136|    0.3688| 0.3822|    3.232| 0.731|   -1.022| 0.862|       |
Gaia DR2 4657682197649779328|084.92632704367| 6.1137|-69.13936693432| 9.5347|          |       |         |      |         |      |       |
Gaia DR2 4657682266369192576|084.89456134944| 0.6306|-69.13784305529| 0.6945|   -0.0687| 0.6740|    3.262| 1.264|    0.503| 1.542|       |
Gaia DR2 4657682266369236480|084.85544072866| 0.7296|-69.13214050700| 0.7453|   -0.8160| 0.6353|    2.622| 1.655|    4.565| 1.650|       |
Gaia DR2 4657682163290041216|084.92710789238| 6.4029|-69.15437504003| 4.6011|          |       |         |      |         |      |       |
Gaia DR2 4657682197649778816|084.92452206593|17.3119|-69.13934071372| 7.3570|          |       |         |      |         |      |       |
Gaia DR2 4657682270653527296|084.88339599141| 1.6332|-69.13114332285| 1.6339|    0.8612| 1.6173|    1.975| 3.545|   -3.810| 4.016|       |
Gaia DR2 4657682266369191936|084.88966060329| 1.1890|-69.13353416079| 0.9898|   -1.0044| 0.9236|    2.334| 2.715|   -1.528| 2.542|       |
Gaia DR2 4657682266369192320|084.89414480847| 0.8387|-69.13536263838| 0.7717|   -0.9246| 0.7352|   -0.266| 2.025|    3.757| 1.780|       |
Gaia DR2 4657682163289977088|084.89328720937| 0.9729|-69.15537526517| 1.3018|          |       |         |      |         |      |       |
Gaia DR2 4657682197649718400|084.90323893674| 0.4522|-69.14574610397| 0.5304|    0.5301| 0.4718|    2.615| 0.913|    0.521| 1.135|       |
Gaia DR2 4657682197649718528|084.90351230411| 0.9253|-69.13792718354| 0.8755|   -1.0549| 0.7697|   -1.644| 2.093|    4.058| 1.996|       |
Gaia DR2 4657682270653231744|084.89362745075| 0.2397|-69.13226387393| 0.2760|    0.0685| 0.2536|    1.302| 0.485|    0.403| 0.565|       |
Gaia DR2 4657682266369244416|084.87926799181| 1.4261|-69.13266609697| 1.0906|   -1.3043| 1.0268|   -3.137| 3.132|    3.320| 2.476|       |
Gaia DR2 4657682232009450624|084.87347589047| 0.5943|-69.15042372424| 0.7248|   -0.1948| 0.5880|    1.377| 1.348|    1.290| 1.656|       |
Gaia DR2 4657682232009450496|084.87291175243| 0.2770|-69.13962859833| 0.3256|    0.7361| 0.2830|    1.120| 0.585|    0.307| 0.726|       |
Gaia DR2 4657682232009450752|084.87420054245| 1.0129|-69.14663617963| 1.0435|    0.7761| 0.7942|    0.578| 2.296|   -0.246| 2.100|       |
Gaia DR2 4657682270653222912|084.87976560198| 0.3900|-69.12773191102| 0.4490|    0.3104| 0.4217|    1.492| 0.782|    1.984| 0.938|       |
Gaia DR2 4657682232009453312|084.88701837613| 0.4899|-69.14937760544| 0.6180|    0.6169| 0.5149|    3.133| 1.162|    0.470| 1.374|       |
Gaia DR2 4657682266369191040|084.88342172726| 0.5478|-69.13565149787| 0.6085|   -0.1087| 0.5226|    0.121| 1.230|   -0.470| 1.391|       |
Gaia DR2 4657682236293487488|084.87070098160| 0.2821|-69.14330633405| 0.3582|   -0.0872| 0.3103|    1.248| 0.574|    1.761| 0.793|       |
Gaia DR2 4657682270633425920|084.85257959926| 3.2299|-69.12326969069| 1.9417|          |       |         |      |         |      |       |
Gaia DR2 4657682270633425536|084.87121121261| 4.5884|-69.12666561838| 1.9772|          |       |         |      |         |      |       |
Gaia DR2 4657682236293481216|084.85678329903| 0.1677|-69.13993366395| 0.2130|    0.2958| 0.1818|    2.193| 0.338|    0.916| 0.416|       |
Gaia DR2 4657682231974622720|084.88492809032| 0.0692|-69.14482645928| 0.0788|    0.0344| 0.0763|    1.757| 0.130|    0.452| 0.147|       |
Gaia DR2 4657682201913295616|084.93053436670|52.0700|-69.14550554049|15.8859|          |       |         |      |         |      |       |
Gaia DR2 4657682270653222144|084.86794787661| 0.7612|-69.13534729980| 0.7773|   -1.6818| 0.7277|    0.320| 1.642|   -0.585| 1.711|       |
Gaia DR2 4657682197614946944|084.90391550323| 0.4887|-69.13574326592| 0.5756|   -0.5803| 0.5460|    1.468| 0.935|    2.931| 1.113|       |
Gaia DR2 4657682236293483392|084.86392893783| 0.6203|-69.13854517831| 0.9126|   -0.2504| 0.5044|    1.786| 1.235|    1.007| 1.646|       |
Gaia DR2 4657682236293482624|084.86075298915| 0.1290|-69.14047708266| 0.1654|   -0.0619| 0.1424|    1.905| 0.257|    0.397| 0.319|       |
Gaia DR2 4657682231974549632|084.86077563180| 0.9916|-69.14695745923| 1.0041|    1.3123| 0.8868|    6.630| 2.300|    0.706| 2.322|       |
Gaia DR2 4657682201933776768|084.94108918863| 0.1309|-69.14856214495| 0.1585|   -0.1093| 0.1529|    1.392| 0.257|    0.613| 0.295|       |
Gaia DR2 4657682270653231104|084.88974698667| 0.1483|-69.13525032566| 0.1683|   -0.0432| 0.1619|    1.071| 0.294|    0.654| 0.325|       |
Gaia DR2 4657682266334285568|084.86087776822| 0.7358|-69.12444622222| 0.8044|    1.4043| 0.7532|    2.017| 1.534|    2.770| 1.964|       |
Gaia DR2 4657682201914290432|084.89769906189| 8.3744|-69.14409054671|14.2804|          |       |         |      |         |      |       |
Gaia DR2 4657682236293495552|084.88432975945| 0.6460|-69.14506800150| 0.6799|   -0.1682| 0.5481|    0.898| 1.427|    1.919| 1.280|       |
Gaia DR2 4657682266369190656|084.88219435881| 0.4924|-69.13864160195| 0.5570|    0.4706| 0.5329|    2.479| 0.984|    0.823| 1.187|       |
Gaia DR2 4657682270653228544|084.88182385066| 0.6274|-69.13693063188| 0.5709|    0.9693| 0.4700|    1.984| 1.294|    0.566| 1.314|       |
Gaia DR2 4657682197649723392|084.92661759804| 0.6621|-69.14178908139| 0.7590|   -1.3617| 0.7034|   -3.775| 1.376|    1.234| 1.609|       |
Gaia DR2 4657682201934049024|084.90892050628| 1.5019|-69.14712296408| 1.2240|   -1.8446| 1.2575|  -12.250| 3.082|    4.628| 2.604|       |
Gaia DR2 4657682197614953600|084.90661275381| 0.1527|-69.14049553438| 0.1799|    0.0620| 0.1686|    1.157| 0.304|    1.286| 0.347|       |
Gaia DR2 4657682232009452800|084.88417414299| 0.5661|-69.15181459124| 0.6623|   -0.1457| 0.5889|    0.827| 1.239|   -1.553| 1.564|       |
Gaia DR2 4657682201913791360|084.91681120018| 0.6902|-69.14743624360| 0.6740|   -0.0102| 0.6066|    0.970| 1.527|    1.586| 1.533|       |
Gaia DR2 4657682201913791232|084.92039397698| 2.4498|-69.13818166305| 2.4021|          |       |         |      |         |      |       |
Gaia DR2 4657682163289978496|084.89876406304| 0.3231|-69.14860878409| 0.4253|    0.0583| 0.3514|    2.104| 0.710|    1.382| 0.883|       |
Gaia DR2 4657682197649726464|084.94055813270| 1.0123|-69.15432010767| 0.9406|   -0.8315| 0.7816|    3.412| 2.349|   -0.985| 2.127|       |
Gaia DR2 4657682236293492224|084.88290046301| 0.4341|-69.14152506470| 0.4640|    0.1144| 0.4259|    1.578| 0.945|    1.948| 0.920|       |
Gaia DR2 4657682270653230976|084.88867263491| 0.4635|-69.13609095533| 0.5136|    0.2420| 0.5075|    1.525| 0.879|   -0.401| 1.030|       |
Gaia DR2 4657682201913303936|084.94164399510| 0.4089|-69.14879350012| 0.5529|    0.0995| 0.3620|    1.132| 0.825|    0.662| 1.071|       |
Gaia DR2 4657682266334366976|084.88834096876| 0.3976|-69.13551083933| 0.4720|   -0.4250| 0.4421|    1.163| 0.780|    2.044| 0.932|       |
Gaia DR2 4657682270653236992|084.89523500853| 0.6517|-69.14206956709| 0.7087|    2.3006| 0.6657|    5.949| 1.333|   -1.030| 1.502|       |
Gaia DR2 4657682266314841472|084.88714708217| 0.2012|-69.13789296461| 0.2352|    0.2804| 0.2158|    2.391| 0.404|    1.045| 0.476|       |
Gaia DR2 4657682232009449984|084.86952959016| 0.4895|-69.14213962418| 0.5661|   -0.8573| 0.5085|   -1.021| 1.033|    0.487| 1.258|       |
Gaia DR2 4657682201933764096|084.90769455506| 0.3417|-69.14554517889| 0.3973|   -0.5268| 0.3556|    1.118| 0.691|    0.163| 0.814|       |
Gaia DR2 4657682266334305280|084.86746233652| 0.2178|-69.13355486147| 0.2640|    0.1162| 0.2412|    1.233| 0.439|    0.936| 0.568|       |
Gaia DR2 4657682167574028032|084.91034385739| 0.0262|-69.15014240233| 0.0308|   -0.0105| 0.0289|    1.566| 0.052|    0.716| 0.056|       |
Gaia DR2 4657682197649722624|084.92339461878| 0.7104|-69.14477787747| 0.6866|   -0.1950| 0.6205|    0.566| 1.579|    3.329| 1.463|       |
Gaia DR2 4657682201913790336|084.92271532596| 3.5745|-69.15017126444|12.4789|          |       |         |      |         |      |       |
Gaia DR2 4657682167574024960|084.90222682905| 0.0316|-69.14691564834| 0.0364|   -0.0006| 0.0342|    1.995| 0.060|    0.621| 0.065|       |
Gaia DR2 4657682197649721344|084.91792061728| 0.9152|-69.14258712362| 0.8565|    0.8413| 0.7918|    3.191| 2.038|   -1.002| 1.996|       |
Gaia DR2 4657682197649717632|084.90002858078| 0.7235|-69.14428932049| 0.7007|   -0.4430| 0.6540|    3.593| 1.573|   -0.229| 1.581|       |
Gaia DR2 4657682201933765120|084.91003507464| 0.2975|-69.14585206490| 0.3533|   -0.9443| 0.3242|    0.282| 0.593|    3.302| 0.697|       |
Gaia DR2 4657682197595363584|084.92773660010| 0.2486|-69.14409811630| 0.2872|    0.8466| 0.2655|  -12.972| 0.504|  -18.777| 0.592|       |
Gaia DR2 4657682167554054656|084.90883110532| 5.4750|-69.14727118077| 6.4884|          |       |         |      |         |      |       |
Gaia DR2 4657682201933759488|084.90156634937| 0.0834|-69.13349545264| 0.0996|    0.0491| 0.0920|    1.692| 0.164|    0.097| 0.190|       |
Gaia DR2 4657682197649720832|084.91550223966| 0.3644|-69.14527012967| 0.4303|   -0.3092| 0.3897|    0.449| 0.743|    0.541| 0.893|       |
Gaia DR2 4657682236273540096|084.85580274715| 1.7236|-69.14385463056| 1.5936|   -3.0221| 1.7911|    3.931| 3.881|   -4.240| 4.145|       |
