#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-01T11:24:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6c6f14a55	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=24	
#-oc.form=dec
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:VFTS 682( 10 arcmin J2000)&HTTPPRM:&&-ref=VIZ5ae6c6f14a55&-oc.form=dec&-c.r=25&-c.geom=b&-order=I&-out.orig=standard&-out=designation&-out=ra&-out=ra_error&-out=dec&-out=dec_error&-out=parallax&-out=parallax_error&-out=pmra&-out=pmra_error&-out=pmdec&-out=pmdec_error&-out=radial_velocity&-out=radial_velocity_error&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=0
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#-out.max=9999
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_1|DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
                        |Gaia DR2 4038916468421093120|270.59703625563| 1.2377|-35.88703803866| 1.2044|    0.5140| 1.1178|   -1.466| 1.953|   -5.181| 1.839|       |
                        |Gaia DR2 4038916468421128192|270.59531812447| 7.5019|-35.88650015023| 7.6840|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421149824|270.59497465890| 0.3405|-35.88563615995| 0.3190|    0.5271| 0.3670|   -3.347| 0.668|   -5.914| 0.592|       |
                        |Gaia DR2 4038916468421143424|270.59433437325| 0.3230|-35.88656852771| 0.3065|   -0.3103| 0.3627|   -3.057| 0.642|   -6.729| 0.584|       |
                        |Gaia DR2 4038916468421122688|270.59588230825| 1.1317|-35.88630555231| 1.1024|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421160320|270.59525148849| 0.4159|-35.88481264053| 0.3866|   -0.7707| 0.5197|   -1.222| 0.686|   -7.357| 0.613|       |
                        |Gaia DR2 4038916468526882944|270.59128129754| 4.4837|-35.88785182162| 6.5486|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421196800|270.59042480457| 0.5338|-35.88698670520| 0.5017|    0.6863| 0.5414|    1.055| 1.119|   -3.655| 0.990|       |
                        |Gaia DR2 4038916468526885248|270.59026516675| 0.4085|-35.88763148360| 0.4023|   -2.2356| 0.4627|   -1.100| 0.794|   -8.200| 0.713|       |
                        |Gaia DR2 4038916464123422592|270.59169850852| 9.9048|-35.88741766060| 9.5986|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421197440|270.59169547069| 0.0715|-35.88589342259| 0.0674|    0.4680| 0.0766|   -1.012| 0.139|   -3.294| 0.123|       |
                        |Gaia DR2 4038916468526883968|270.59272734411| 4.8700|-35.88597989554| 6.6259|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421163648|270.59252882283| 0.2696|-35.88697940863| 0.2546|    0.2911| 0.3009|   -6.781| 0.499|   -3.219| 0.438|       |
                        |Gaia DR2 4038916468421168000|270.59149701090| 1.2401|-35.88732239842| 1.1519|    2.0459| 1.4950|   -6.947| 2.460|   -8.893| 2.109|       |
                        |Gaia DR2 4038916468527266560|270.58787111180| 7.7431|-35.88653149245| 7.5807|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421224832|270.58883512381| 0.7617|-35.88687696833| 0.7536|   -9.7282| 0.8738|    5.104| 1.419|  -11.486| 1.199|       |
                        |Gaia DR2 4038916468526894592|270.58872905216| 0.3965|-35.88584702183| 0.3761|   -0.0856| 0.4066|   -1.021| 0.828|   -5.241| 0.762|       |
                        |Gaia DR2 4038916468421242496|270.59004396820| 0.8331|-35.88501095109| 0.7674|    1.3698| 0.8697|    1.430| 1.453|    2.831| 1.279|       |
                        |Gaia DR2 4038916468421223168|270.59040598836| 0.0882|-35.88562218884| 0.0828|    0.2553| 0.0937|   -1.939| 0.171|   -3.746| 0.151|       |
                        |Gaia DR2 4038916468421256064|270.59029738409| 0.4412|-35.88406823215| 0.4286|    1.1645| 0.4902|   -3.129| 0.730|    0.777| 0.667|       |
                        |Gaia DR2 4038916468526886912|270.59116633671| 0.1351|-35.88575512102| 0.1286|    0.2213| 0.1446|    0.043| 0.257|   -6.768| 0.227|       |
                        |Gaia DR2 4038916468421197184|270.59095623742| 0.2871|-35.88544732309| 0.2636|   -0.2663| 0.3071|   -0.272| 0.475|   -5.604| 0.438|       |
                        |Gaia DR2 4038916468421180928|270.59372277843| 0.5312|-35.88498656316| 0.4824|    0.0080| 0.5641|    0.754| 0.965|   -2.483| 0.871|       |
                        |Gaia DR2 4038916468423262592|270.59331235997| 4.4055|-35.88460223970| 2.2783|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421205760|270.59383406136| 4.8587|-35.88337715531| 4.8802|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421205888|270.59406305208| 0.3443|-35.88343869994| 0.3232|    0.0181| 0.3811|    0.834| 0.638|   -2.408| 0.568|       |
                        |Gaia DR2 4038916468421184000|270.59542147499| 0.4376|-35.88339595969| 0.4177|    0.2342| 0.5951|   -1.039| 0.928|   -2.388| 0.974|       |
                        |Gaia DR2 4038916468526891264|270.59237945264| 7.4870|-35.88377711028| 3.9599|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421228672|270.59195770786| 0.2284|-35.88299147758| 0.2149|   -0.4103| 0.2378|   -3.401| 0.418|   -6.322| 0.362|       |
                        |Gaia DR2 4038916468421246848|270.59142023067| 0.0975|-35.88354405696| 0.0904|   -0.0269| 0.0987|   -3.545| 0.187|   -5.744| 0.163|       |
                        |Gaia DR2 4038916468421228800|270.59247097936| 7.5382|-35.88298162316| 7.4201|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421229056|270.59322186165| 0.5969|-35.88294095828| 0.5745|    0.7836| 0.6630|    1.072| 0.934|   -6.893| 0.856|       |
                        |Gaia DR2 4038916468421117440|270.59795617598| 1.3406|-35.88480378730| 1.2815|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468526873216|270.60012205634| 0.3519|-35.88386506939| 0.3337|   -0.4266| 0.4034|   -3.840| 0.688|   -6.777| 0.626|       |
                        |Gaia DR2 4038916468421148160|270.59682321265| 0.6553|-35.88376232986| 0.5626|   -0.1314| 0.5249|    1.653| 1.161|   -7.342| 1.046|       |
                        |Gaia DR2 4038916468421169152|270.59710716511| 0.8301|-35.88279144969| 0.6367|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468423546880|270.59607011694| 1.0231|-35.88361257820| 0.7896|    1.8310| 0.9895|    2.534| 1.824|   -7.214| 1.447|       |
                        |Gaia DR2 4038916468421148288|270.59725723991| 0.4030|-35.88368024440| 0.3820|   -0.6844| 0.4277|   -2.966| 0.801|   -5.777| 0.712|       |
                        |Gaia DR2 4038916468421148416|270.59673634715| 0.7838|-35.88419885363| 0.9111|    1.6557| 1.2293|   -1.346| 1.785|   -0.750| 1.702|       |
                        |Gaia DR2 4038916468421153536|270.59890962948| 0.3085|-35.88204619322| 0.2795|   -0.3005| 0.3519|   -2.668| 0.542|   -4.466| 0.475|       |
                        |Gaia DR2 4038916468421153408|270.59849661472| 1.8788|-35.88229270587| 1.8658|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916464123423488|270.59968939752| 0.2805|-35.88180516662| 0.2649|   -0.0032| 0.3143|   -3.685| 0.519|   -6.503| 0.457|       |
                        |Gaia DR2 4038916468421170816|270.59751804905| 0.3727|-35.88232439852| 0.3583|   -0.5021| 0.4186|   -0.791| 0.713|   -4.947| 0.633|       |
                        |Gaia DR2 4038916468421100544|270.60181797631| 0.7208|-35.88253888711| 0.6621|    1.0890| 0.7885|   -2.205| 1.216|   -5.790| 1.078|       |
                        |Gaia DR2 4038916468526875136|270.60132661522| 0.7377|-35.88191060520| 0.7294|    0.7117| 0.5773|   -3.461| 1.288|   -9.200| 1.189|       |
                        |Gaia DR2 4038916464098496512|270.60127052001| 0.0531|-35.88266111982| 0.0494|    0.7496| 0.0564|   -5.630| 0.100|   -6.994| 0.086|       |
                        |Gaia DR2 4038916468421127168|270.60276140325| 0.5120|-35.88020141997| 0.4717|   -0.2774| 0.5198|   -4.647| 0.972|   -3.108| 0.843|       |
                        |Gaia DR2 4038916468421114752|270.60259521017| 0.4664|-35.88100520121| 0.4335|    0.3088| 0.5573|   -1.461| 1.162|   -2.017| 1.191|       |
                        |Gaia DR2 4038916468421106304|270.60327436000| 1.1483|-35.88077162866| 1.2349|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421114368|270.60196981732| 0.1115|-35.88075410801| 0.0999|    0.5089| 0.1214|   -1.138| 0.197|   -2.606| 0.172|       |
                        |Gaia DR2 4038916468421167488|270.60022147529| 0.3872|-35.88020037570| 0.3577|   -1.9825| 0.4509|   -1.064| 0.663|   -5.217| 0.579|       |
                        |Gaia DR2 4038916468526882560|270.59988735099| 0.8960|-35.88035220091| 0.8523|    3.3989| 0.9486|   -4.080| 1.513|   -5.078| 1.280|       |
                        |Gaia DR2 4038916468421167360|270.59947533081| 0.2158|-35.88060873960| 0.2036|    0.5098| 0.2470|   -0.546| 0.363|   -1.254| 0.325|       |
                        |Gaia DR2 4038916468421114240|270.60182346212| 0.1131|-35.88033054200| 0.1062|    0.2057| 0.1176|   -6.062| 0.216|   -8.268| 0.191|       |
                        |Gaia DR2 4038916468421169920|270.60156546786| 0.2421|-35.87892039778| 0.2291|   -0.0491| 0.2730|   -1.670| 0.442|   -4.687| 0.390|       |
                        |Gaia DR2 4038916468421192448|270.59631576664| 3.3335|-35.88220082947| 3.0703|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468424617088|270.59537688920| 8.4401|-35.88169392554| 6.6347|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468423264000|270.59648712662| 0.3368|-35.88156060511| 0.2829|    0.5449| 0.3636|   -0.368| 0.570|   -7.427| 0.492|       |
                        |Gaia DR2 4038916464123423360|270.59708247747| 0.0400|-35.88100600934| 0.0375|    0.4172| 0.0421|   -1.714| 0.077|   -4.972| 0.066|       |
                        |Gaia DR2 4038916468423544192|270.59798881866| 0.6326|-35.88023222161| 0.5204|   -0.4220| 0.5648|   -4.984| 1.211|   -7.578| 1.007|       |
                        |Gaia DR2 4038916468421202432|270.59643099330| 0.5469|-35.88090574789| 0.4782|    0.4786| 0.6561|   -0.501| 0.894|    2.816| 0.801|       |
                        |Gaia DR2 4038916468526888192|270.59723484236| 0.6142|-35.88058812550| 0.5947|    0.7144| 0.5994|   -4.300| 1.149|   -3.037| 1.011|       |
                        |Gaia DR2 4038916468421273088|270.59466004136| 0.2055|-35.87939503542| 0.1941|    0.0067| 0.2136|   -2.117| 0.374|   -7.477| 0.324|       |
                        |Gaia DR2 4038916468421252480|270.59474248494| 0.1572|-35.88038740464| 0.1483|   -0.1769| 0.1621|   -2.252| 0.287|   -4.053| 0.248|       |
                        |Gaia DR2 4038916468423546240|270.59455908196| 0.7332|-35.88170017450| 0.6711|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468526893952|270.59567920340| 0.0989|-35.88014704824| 0.0923|    0.3408| 0.1010|   -2.184| 0.188|   -2.008| 0.165|       |
                        |Gaia DR2 4038916464105127040|270.59929141716| 0.2340|-35.88016594123| 0.2205|    0.3173| 0.2846|   -2.829| 0.384|   -7.280| 0.346|       |
                        |Gaia DR2 4038916468421207808|270.59805119661| 1.4497|-35.87912538619| 1.4997|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468526889216|270.59801436318| 0.1214|-35.87974762074| 0.1138|   -0.1824| 0.1307|   -2.063| 0.236|   -0.920| 0.210|       |
                        |Gaia DR2 4038916468421208064|270.59911240392| 6.0185|-35.87889357840| 6.0070|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421207680|270.59846337547| 0.2024|-35.87923041915| 0.1857|    0.2003| 0.2100|   -2.526| 0.380|   -5.991| 0.325|       |
                        |Gaia DR2 4038916468421207936|270.59885395542| 0.1685|-35.87861697181| 0.1590|    0.3868| 0.1768|   -4.129| 0.312|   -6.031| 0.274|       |
                        |Gaia DR2 4038916464098525696|270.59903759763| 0.0399|-35.87777368502| 0.0370|    0.4014| 0.0396|    0.037| 0.078|   -1.994| 0.067|       |
                        |Gaia DR2 4038916468421223680|270.59975405796| 0.6700|-35.87757805978| 0.6218|    0.0904| 0.8010|   -1.531| 1.177|   -5.419| 1.069|       |
                        |Gaia DR2 4038916468526899456|270.59690293620| 0.4374|-35.87720040777| 0.4314|   -1.2754| 0.5430|    1.248| 0.840|   -5.515| 0.742|       |
                        |Gaia DR2 4038916468421271680|270.59750808068| 2.0560|-35.87701384776| 7.7148|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421233536|270.59841629479| 2.9428|-35.87755320014| 3.5927|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468424228096|270.59672482000| 7.0712|-35.87849034003| 7.1805|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468526892800|270.59798042419| 1.1540|-35.87839548664| 1.0799|    0.3001| 0.9142|    1.541| 1.734|   -2.524| 1.763|       |
                        |Gaia DR2 4038916468526898304|270.59872555407| 0.1159|-35.87596922558| 0.1083|    0.0015| 0.1192|   -3.249| 0.220|   -4.215| 0.194|       |
                        |Gaia DR2 4038916468421271296|270.59799868703| 0.2495|-35.87633895876| 0.2343|    0.2318| 0.2564|   -2.121| 0.451|   -5.492| 0.394|       |
                        |Gaia DR2 4038916468421271424|270.59829315702| 0.3429|-35.87636231355| 0.3216|    0.0768| 0.3156|    0.355| 0.633|   -2.470| 0.585|       |
                        |Gaia DR2 4038916468421262592|270.59824184728| 3.8079|-35.87682551602| 4.7831|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916464098481408|270.58777261569| 0.0743|-35.88461138115| 0.0694|    0.1692| 0.0765|   -4.994| 0.137|   -1.877| 0.119|       |
                        |Gaia DR2 4038916468421265024|270.58787018327| 5.3902|-35.88512628648| 5.3168|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421265152|270.58809849274| 0.6849|-35.88534094192| 0.6443|   -3.6154| 0.6855|    2.152| 1.302|    3.613| 1.165|       |
                        |Gaia DR2 4038916468421278464|270.58957442940| 0.5544|-35.88347133970| 0.5275|   -0.4852| 0.5771|   -4.968| 1.171|   -6.456| 1.070|       |
                        |Gaia DR2 4038916468421293440|270.58848723148| 0.7163|-35.88355171958| 0.5085|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421299456|270.58901097573| 3.8208|-35.88275439052| 4.5225|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421334144|270.58591531650| 0.5233|-35.88329541815| 0.5048|   -0.2544| 0.6696|    0.114| 1.092|   -8.988| 1.035|       |
                        |Gaia DR2 4038916468421312384|270.58685390546| 0.2446|-35.88384845130| 0.2299|   -0.1244| 0.2645|   -3.002| 0.453|   -4.735| 0.402|       |
                        |Gaia DR2 4038916468421314816|270.58721161995| 0.2451|-35.88332369545| 0.2436|    0.2631| 0.2996|   -1.019| 0.469|   -0.900| 0.412|       |
                        |Gaia DR2 4038916468421331840|270.58850799257| 0.5333|-35.88153447696| 0.4617|   -0.1990| 0.4971|   -0.400| 1.078|   -7.203| 0.888|       |
                        |Gaia DR2 4038916468421304832|270.58802632900| 0.1209|-35.88326261640| 0.1138|    0.6107| 0.1237|    7.660| 0.229|    1.614| 0.202|       |
                        |Gaia DR2 4038916464098494080|270.58687331117| 0.6970|-35.88231557834| 0.6390|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421317248|270.58770288783| 0.2138|-35.88269957660| 0.1977|    0.3331| 0.2141|   -1.792| 0.394|    2.918| 0.336|       |
                        |Gaia DR2 4038916468421328896|270.58701063278| 4.1626|-35.88256992924| 4.1981|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421309440|270.59005921362| 3.1533|-35.88125976628| 3.2074|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468423271040|270.59102634993| 0.2674|-35.88184481782| 0.2449|   -0.0074| 0.2631|    0.077| 0.494|   -3.363| 0.416|       |
                        |Gaia DR2 4038916468421266944|270.59068929749| 0.0616|-35.88304855700| 0.0572|    0.5700| 0.0625|   -6.885| 0.114|   -8.194| 0.098|       |
                        |Gaia DR2 4038916464123424768|270.59214374628| 1.1730|-35.87983610480| 1.2775|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421331968|270.58852044413| 0.8193|-35.88111918302| 0.8342|   -0.8149| 0.7517|   -1.625| 1.939|   -8.739| 1.659|       |
                        |Gaia DR2 4038916468423276544|270.59045063228| 0.4626|-35.87982246399| 0.4095|   -0.1531| 0.5207|   -1.152| 0.970|   -6.448| 0.895|       |
                        |Gaia DR2 4038916468421371648|270.58425774866| 0.7090|-35.88262327588| 0.6535|   -0.6163| 0.7873|   -1.338| 1.697|   -7.150| 1.671|       |
                        |Gaia DR2 4038916468526911744|270.58744884898| 1.3223|-35.88043310965| 1.0589|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421392512|270.58599716637| 2.9426|-35.87995389115| 1.9984|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421374720|270.58576543800| 0.2017|-35.88117305727| 0.1940|    0.1878| 0.2103|   -1.396| 0.376|    0.946| 0.328|       |
                        |Gaia DR2 4038916468421424128|270.58301335898| 0.4345|-35.88082896894| 0.4257|    0.1803| 0.5163|   -5.668| 0.898|   -3.689| 0.829|       |
                        |Gaia DR2 4038916468421411840|270.58490823139| 0.4690|-35.87977430673| 0.4425|   -1.1150| 0.5124|   -2.959| 0.906|   -6.889| 0.804|       |
                        |Gaia DR2 4038916468421424768|270.58493431142| 0.5128|-35.87911571754| 0.4693|   -1.1710| 0.5552|   -2.393| 0.976|   -5.362| 0.873|       |
                        |Gaia DR2 4038916468526920064|270.58557615076| 0.0728|-35.87894456134| 0.0684|    0.0295| 0.0793|   -1.018| 0.136|  -10.118| 0.119|       |
                        |Gaia DR2 4038916468421404416|270.58613649392| 1.3695|-35.87915098748| 1.4138|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421435264|270.58526506731| 0.3596|-35.87829915154| 0.3444|    0.5119| 0.3939|   -3.440| 0.694|   -8.009| 0.627|       |
                        |Gaia DR2 4038916468421388416|270.58737197066| 0.4985|-35.87833322892| 0.4280|   -1.6967| 0.5708|    2.114| 0.881|    0.069| 0.773|       |
                        |Gaia DR2 4038916468421388544|270.58767273732| 1.0819|-35.87872555047| 0.8996|   -1.5845| 1.1498|   -1.974| 1.549|    0.098| 1.411|       |
                        |Gaia DR2 4038916468423546752|270.58835875603| 7.6552|-35.87902371250| 7.5514|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421376128|270.58785044796| 0.8786|-35.87928454298| 0.8080|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916464098527232|270.58993697650| 0.0288|-35.87772751718| 0.0268|    0.3660| 0.0299|   -2.098| 0.056|    2.351| 0.047|       |
                        |Gaia DR2 4038916468421401216|270.58920344583| 0.6571|-35.87672914261| 0.6198|    0.7118| 0.9436|    0.044| 2.507|   -2.240| 2.709|       |
                        |Gaia DR2 4038916468421392000|270.58812849965| 0.5166|-35.87816484017| 0.4942|   -0.6903| 0.6173|   -6.283| 1.039|   -0.230| 1.015|       |
                        |Gaia DR2 4038916468421384192|270.58961738887| 0.7908|-35.87728628126| 2.8364|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421401472|270.58837214677| 5.1019|-35.87738888086| 6.0039|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421414144|270.58604521855| 6.0239|-35.87864268944| 3.0194|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421423232|270.58646670295| 0.9585|-35.87791826117| 0.5659|    0.0834| 1.2866|   -1.601| 1.199|   -2.786| 1.016|       |
                        |Gaia DR2 4038916468421423104|270.58624668970| 0.5487|-35.87795389373| 0.5652|    0.6920| 0.6402|    1.043| 1.212|   -6.147| 1.045|       |
                        |Gaia DR2 4038916468526925312|270.58595362386| 0.0780|-35.87732841161| 0.0747|    0.0718| 0.0963|   -3.360| 0.127|   -7.039| 0.113|       |
                        |Gaia DR2 4038916464098527488|270.58715494043| 0.5834|-35.87691697671| 0.5798|    0.5919| 0.6418|   -3.641| 1.468|   -4.570| 1.455|       |
                        |Gaia DR2 4038916468421422976|270.58809417828| 0.2960|-35.87653798727| 0.2830|    0.5971| 0.3246|   -2.587| 0.549|   -5.576| 0.482|       |
                        |Gaia DR2 4038916468423288832|270.58756133355| 0.5934|-35.87621375641| 0.5829|    1.8392| 0.8504|   -0.899| 1.031|   -4.194| 0.932|       |
                        |Gaia DR2 4038916468421445120|270.58804584673| 0.9117|-35.87540536459| 0.9063|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421313024|270.59255168548| 0.7346|-35.87890437101| 0.6783|    0.6550| 0.7618|   -5.144| 1.506|   -5.680| 1.375|       |
                        |Gaia DR2 4038916468421285888|270.59295826454| 0.2338|-35.88015512363| 0.2216|    0.3884| 0.2398|    0.221| 0.477|   -2.654| 0.441|       |
                        |Gaia DR2 4038916468421299328|270.59298478860| 0.5709|-35.87934218151| 0.5477|    2.1286| 0.5004|   -9.045| 1.272|  -10.979| 1.144|       |
                        |Gaia DR2 4038916468421309184|270.59489157777| 0.2943|-35.87712857430| 0.2791|    0.4488| 0.3099|   -3.945| 0.537|   -6.726| 0.465|       |
                        |Gaia DR2 4038916468421285504|270.59392567779| 0.1221|-35.87854088166| 0.1139|    0.0581| 0.1247|   -3.071| 0.232|   -1.677| 0.204|       |
                        |Gaia DR2 4038916464123425024|270.59464011552| 0.7337|-35.87877805526| 0.7283|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468526909056|270.59198294194| 0.3526|-35.87794946695| 0.3457|    1.8947| 0.4191|   -4.786| 0.688|   -4.042| 0.619|       |
                        |Gaia DR2 4038916468424516352|270.59251118827| 2.3847|-35.87736753172| 2.2695|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421322880|270.59210813135| 8.2420|-35.87858636783| 8.4469|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421358848|270.59099218686| 0.8585|-35.87827354454| 0.8967|   -0.9571| 1.0876|    2.369| 1.824|   -4.113| 1.690|       |
                        |Gaia DR2 4038916468421364352|270.59215669284| 0.5584|-35.87621927785| 0.5393|   -0.5500| 0.6723|   -2.967| 1.107|   -6.666| 1.061|       |
                        |Gaia DR2 4038916464119098496|270.59311163015| 1.1221|-35.87609645480| 0.9386|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421345280|270.59372277950| 0.2919|-35.87602521201| 0.2792|    0.5374| 0.3176|   -3.226| 0.543|   -4.773| 0.477|       |
                        |Gaia DR2 4038916468421359488|270.59337483825| 0.5305|-35.87541456434| 0.5272|    0.4697| 0.5354|   -0.579| 1.068|   -5.142| 0.933|       |
                        |Gaia DR2 4038916468421319040|270.59482828579| 0.8660|-35.87628594944| 0.8045|   -6.3076| 0.8752|    6.130| 1.582|   -2.461| 1.379|       |
                        |Gaia DR2 4038916468421324288|270.59673629339| 1.2356|-35.87425561289| 1.3543|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421324416|270.59654598704| 0.3237|-35.87464045506| 0.3060|    0.0792| 0.3509|   -4.825| 0.600|   -8.494| 0.535|       |
                        |Gaia DR2 4038916468421314176|270.59748549813| 1.2460|-35.87458120940| 1.2788|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468423272064|270.59799903323| 0.9691|-35.87522262244| 0.8811|   -0.6796| 0.9855|   -9.015| 1.837|   -9.799| 1.581|       |
                        |Gaia DR2 4038916468421327232|270.59749757696| 0.3444|-35.87370340356| 0.3397|    0.6391| 0.3575|   -3.807| 0.765|   -2.966| 0.698|       |
                        |Gaia DR2 4038916468421356928|270.59485858240| 0.4268|-35.87429441518| 0.3880|   -0.5668| 0.4831|   -1.024| 0.805|   -7.714| 0.726|       |
                        |Gaia DR2 4038916468421340928|270.59675907929| 0.4862|-35.87366575319| 0.4504|    3.1652| 0.5681|    1.887| 1.212|   -4.630| 1.213|       |
                        |Gaia DR2 4038916468421376000|270.59559899490| 0.6051|-35.87264673127| 0.5591|    0.0979| 0.9920|   -3.181| 2.018|   -4.224| 2.380|       |
                        |Gaia DR2 4038916468421367808|270.59630493618|33.4331|-35.87253197870|32.9320|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421356032|270.59613431782| 0.7618|-35.87323085790| 0.7658|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916468421340416|270.59588781507| 0.3686|-35.87442709419| 0.3634|    0.2096| 0.4523|   -2.245| 0.783|   -6.445| 0.744|       |
                        |Gaia DR2 4038916468421362816|270.59545106925| 0.6966|-35.87345061347| 0.7066|    0.0846| 0.5840|   -5.074| 1.622|   -1.476| 1.440|       |
                        |Gaia DR2 4038916468423676672|270.59037310701| 0.8738|-35.87652555131| 0.8264|    0.0733| 0.8432|   -3.305| 2.361|   -8.457| 2.039|       |
