#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:19:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&&-ref=VIZ5ae6170c1272&-file=.&-oc.form=dec&-c.r=100&-c.geom=r&-order=I&-out.form=verb&-out.orig=standard&-out=DR2Name&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=RV&-out=e_RV&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c=VFTS 682
#-c.eq=J2000
#-c.r=1
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=1.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
Gaia DR2 4657685706606900096|084.70087816486| 4.0786|-69.06985553513| 2.4095|          |       |         |      |         |      |       |
Gaia DR2 4657685637907516928|084.75375670323| 0.4751|-69.07557151900| 0.6694|    0.0169| 0.5358|    2.573| 0.918|    3.839| 1.247|       |
Gaia DR2 4657685603547626496|084.71376141390| 0.3560|-69.08482995748| 0.4161|    0.1368| 0.3820|    2.153| 0.674|   -0.420| 0.779|       |
Gaia DR2 4657685667984956416|084.69085715512| 1.1261|-69.07197027101| 0.8154|          |       |         |      |         |      |       |
Gaia DR2 4657685637907927680|084.73614917454| 5.4805|-69.06725623256| 4.4095|          |       |         |      |         |      |       |
Gaia DR2 4657685672267109888|084.68699093443| 0.7245|-69.07811811786| 0.5305|          |       |         |      |         |      |       |
Gaia DR2 4657685603527001472|084.72186515598|12.1798|-69.08202511995| 5.6934|          |       |         |      |         |      |       |
Gaia DR2 4657685603528036352|084.72549018226| 5.6723|-69.07751050786| 4.7703|          |       |         |      |         |      |       |
Gaia DR2 4657685667984498816|084.69737663287| 0.7140|-69.07777166135| 0.6465|   -0.0840| 0.7283|    2.409| 1.351|    3.626| 1.230|       |
Gaia DR2 4657685603547774720|084.73165710975| 0.0743|-69.09014369110| 0.1072|    0.0631| 0.0850|    1.921| 0.142|    1.134| 0.187|       |
Gaia DR2 4657685702344727040|084.70673218129| 6.6589|-69.07046357352| 4.0967|          |       |         |      |         |      |       |
Gaia DR2 4657685706626964096|084.70781683270| 0.1727|-69.06803989345| 0.2144|   -0.0954| 0.1819|    1.681| 0.350|    1.437| 0.406|       |
Gaia DR2 4657685603527002496|084.71696867692| 0.2538|-69.08474935072| 0.2793|    0.4391| 0.2627|    1.656| 0.494|    0.274| 0.553|       |
Gaia DR2 4657685672246415744|084.70279948516| 2.8314|-69.08256267216| 1.5193|          |       |         |      |         |      |       |
Gaia DR2 4657685603527002112|084.71909923991| 0.6557|-69.08415137182| 0.7169|          |       |         |      |         |      |       |
Gaia DR2 4657685637907512320|084.74332007033| 0.0462|-69.07644417124| 0.0519|   -0.0174| 0.0488|    1.797| 0.087|    0.651| 0.098|       |
Gaia DR2 4657685633625293952|084.73096524043| 0.4230|-69.06602195938| 0.4901|    0.1394| 0.4417|    1.615| 0.814|   -0.368| 0.899|       |
Gaia DR2 4657685633624848640|084.72455152986| 0.2512|-69.07177304280| 0.2868|    0.1830| 0.2606|    3.815| 0.507|    2.920| 0.576|       |
Gaia DR2 4657685603547633536|084.74245965951| 0.1067|-69.08281257520| 0.1365|    0.0112| 0.1248|    2.176| 0.202|    2.725| 0.242|       |
Gaia DR2 4657685603547633408|084.74173074738| 0.3069|-69.08282379126| 0.5966|   -0.0437| 0.4483|    1.266| 0.605|    0.989| 1.145|       |
Gaia DR2 4657685672267110016|084.68697968923| 0.4767|-69.07830774643| 0.2596|   -0.7598| 0.3216|    2.536| 0.895|    1.967| 0.489|       |
Gaia DR2 4657685603528039552|084.72927244188| 5.3527|-69.08148401484| 5.1929|          |       |         |      |         |      |       |
Gaia DR2 4657685599265111424|084.72661115243| 0.4939|-69.08869710161| 0.8146|    0.7146| 0.6371|    4.134| 0.935|    2.536| 1.364|       |
Gaia DR2 4657685667984983808|084.70569857532| 1.0017|-69.07799630784| 1.0483|          |       |         |      |         |      |       |
Gaia DR2 4657685706607248000|084.71130843221| 2.3660|-69.07204066412| 1.4137|          |       |         |      |         |      |       |
Gaia DR2 4657685706607247488|084.69584084488| 4.9852|-69.06827939323| 3.3476|          |       |         |      |         |      |       |
Gaia DR2 4657685702344721408|084.70431037400| 0.6114|-69.06960917096| 0.5986|   -0.4964| 0.6029|   -1.439| 1.185|   -0.660| 1.126|       |
Gaia DR2 4657685706606402304|084.69741888014| 0.8214|-69.06907522338| 0.6948|    0.9904| 0.7550|    0.945| 1.463|    0.814| 1.342|       |
Gaia DR2 4657685603548156800|084.75427453979| 1.5105|-69.08690997471| 1.7715|          |       |         |      |         |      |       |
Gaia DR2 4657685633625012096|084.72605705938| 2.4929|-69.07363977969| 1.9943|          |       |         |      |         |      |       |
Gaia DR2 4657685667984965248|084.69611258934| 1.1895|-69.07198618256| 0.9259|          |       |         |      |         |      |       |
Gaia DR2 4657685599265106560|084.71658870607| 0.5818|-69.07576137883| 0.6806|   -0.6206| 0.6707|    0.303| 1.140|    2.664| 1.280|       |
Gaia DR2 4657685599265106432|084.71633566916| 0.6291|-69.07929452300| 0.7327|   -0.2067| 0.6278|   -0.775| 1.180|   -0.724| 1.374|       |
Gaia DR2 4657685603526935552|084.71651594057|15.4729|-69.08140492076|16.5319|          |       |         |      |         |      |       |
Gaia DR2 4657685672247620480|084.69897621884| 1.2717|-69.07651753635| 0.8527|          |       |         |      |         |      |       |
Gaia DR2 4657685599265275008|084.72713008623| 2.8517|-69.08562523573| 3.1858|          |       |         |      |         |      |       |
Gaia DR2 4657685702344458368|084.69863107701| 1.2139|-69.06779390609| 0.7613|   -0.5911| 0.7140|   -0.263| 2.361|    0.695| 1.457|       |
Gaia DR2 4657685633624855936|084.74994343766| 0.4173|-69.07610073044| 0.5725|   -0.3740| 0.4870|    1.538| 0.796|    3.979| 1.071|       |
Gaia DR2 4657685633625007616|084.72232378763| 2.0228|-69.06458422429| 1.7201|          |       |         |      |         |      |       |
Gaia DR2 4657685633624855552|084.74811977537| 0.7098|-69.07587870521| 0.8988|   -0.0472| 0.7911|    0.135| 1.270|    2.736| 1.652|       |
Gaia DR2 4657685599216260480|084.73802909513| 0.1415|-69.08989163441| 0.1755|   -0.0955| 0.1558|    1.540| 0.280|    0.813| 0.331|       |
Gaia DR2 4657685672267116800|084.70241350582| 0.9537|-69.08330252542| 0.6350|          |       |         |      |         |      |       |
Gaia DR2 4657685633624856832|084.75307186752| 0.5004|-69.07885025626| 0.5270|   -0.6933| 0.5274|    1.037| 0.937|    1.589| 1.079|       |
Gaia DR2 4657685603548274944|084.71641484319|16.5620|-69.08548293904| 5.2871|          |       |         |      |         |      |       |
Gaia DR2 4657685603528383488|084.72397587780|11.1706|-69.08579682386|13.5205|          |       |         |      |         |      |       |
Gaia DR2 4657685603527021568|084.71270253285| 0.9146|-69.08431249772| 1.1573|          |       |         |      |         |      |       |
Gaia DR2 4657685637907518976|084.76066051363| 0.3302|-69.07464397825| 0.4264|    0.1968| 0.3560|    1.457| 0.630|    2.991| 0.809|       |
Gaia DR2 4657685672267134592|084.70648182372| 0.8736|-69.08281068740| 0.8248|          |       |         |      |         |      |       |
Gaia DR2 4657685637907520128|084.75404365379| 0.0934|-69.08373071698| 0.1171|    0.0780| 0.1006|    2.230| 0.181|    4.567| 0.223|       |
Gaia DR2 4657685599265114752|084.74028108823| 3.0746|-69.08473362374| 2.7147|          |       |         |      |         |      |       |
Gaia DR2 4657685603547782656|084.75509287914| 0.1167|-69.08639770933| 0.1337|   -0.2384| 0.1066|    1.053| 0.254|    1.244| 0.250|       |
Gaia DR2 4657685633624853504|084.74026143614| 0.4233|-69.07241975912| 0.5736|   -0.6623| 0.4710|    1.668| 0.812|    4.074| 1.106|       |
Gaia DR2 4657685633625021696|084.73498797335| 2.3052|-69.07588195122| 3.2651|          |       |         |      |         |      |       |
Gaia DR2 4657685603547776896|084.74385105466| 0.2321|-69.08174779596| 0.3312|   -0.2089| 0.2558|    2.019| 0.454|    2.076| 0.600|       |
Gaia DR2 4657685702295468800|084.70658812135| 0.3285|-69.06234725542| 0.3812|    2.6850| 0.3646|    0.727| 0.615|    2.646| 0.713|       |
Gaia DR2 4657685633624733312|084.74798272432| 0.0974|-69.08181276630| 0.1140|    0.0562| 0.1012|    1.703| 0.190|    1.006| 0.218|       |
Gaia DR2 4657685637887330048|084.72282642850| 1.1545|-69.06936518027| 1.2745|          |       |         |      |         |      |       |
Gaia DR2 4657685667984452864|084.70040925370| 0.2864|-69.07841110002| 0.3496|    0.5352| 0.3059|    2.573| 0.533|    3.978| 0.643|       |
Gaia DR2 4657685637907928448|084.71895517092|18.0991|-69.06591697876|13.7710|          |       |         |      |         |      |       |
Gaia DR2 4657685599265289088|084.74267499107| 5.3065|-69.09018828652| 6.5994|          |       |         |      |         |      |       |
Gaia DR2 4657685637907929088|084.72472653590|10.3641|-69.06998796490| 7.6005|          |       |         |      |         |      |       |
Gaia DR2 4657685672267669248|084.69113061901| 2.8150|-69.06871356814| 1.7671|          |       |         |      |         |      |       |
Gaia DR2 4657685672247621376|084.69759255680| 1.2006|-69.07604980597| 0.8373|          |       |         |      |         |      |       |
Gaia DR2 4657685672247617536|084.69685114157|11.5272|-69.08174285392|13.7591|          |       |         |      |         |      |       |
Gaia DR2 4657685633575996288|084.72804060735| 0.1074|-69.06978724212| 0.1541|    0.0556| 0.1318|    1.920| 0.205|    0.336| 0.245|       |
Gaia DR2 4657685672247062784|084.69455216899| 4.5664|-69.07222897329| 2.8270|          |       |         |      |         |      |       |
Gaia DR2 4657685599264981760|084.72764202457| 0.0632|-69.08190159763| 0.0723|   -0.0264| 0.0672|    1.653| 0.121|    1.003| 0.143|       |
Gaia DR2 4657685667984458368|084.70977165309| 0.1402|-69.08410313988| 0.1490|   -0.1429| 0.1545|    1.445| 0.266|    1.389| 0.281|       |
Gaia DR2 4657685706606801920|084.70748127635| 5.9810|-69.06079970142| 6.3108|          |       |         |      |         |      |       |
Gaia DR2 4657685706606803840|084.71329154778| 0.9131|-69.06222176988| 0.8396|   -0.7601| 0.7277|    0.395| 1.666|   -0.084| 1.519|       |
Gaia DR2 4657685702295466880|084.70028704261|29.2360|-69.06998868705|21.7956|          |       |         |      |         |      |       |
Gaia DR2 4657685633625037824|084.75813984920| 1.1041|-69.08284582572| 1.0954|          |       |         |      |         |      |       |
Gaia DR2 4657685599265287040|084.73986917159| 0.3751|-69.08064854607| 0.5210|    0.9076| 0.4393|    2.289| 0.734|   -0.125| 0.913|       |
Gaia DR2 4657685667935727616|084.69547984407| 0.1053|-69.07945787017| 0.1174|    0.0545| 0.1217|    1.760| 0.204|    0.948| 0.215|       |
Gaia DR2 4657685672247065856|084.70319667609| 0.3182|-69.07370705361| 0.3195|   -0.0068| 0.3075|   -0.236| 0.677|   -0.029| 0.600|       |
Gaia DR2 4657685603547650048|084.74392409323| 1.0146|-69.08610577616| 1.6830|          |       |         |      |         |      |       |
Gaia DR2 4657685667935728768|084.70123968040| 0.1015|-69.07913898778| 0.1154|   -0.1898| 0.1018|    1.487| 0.204|    0.895| 0.213|       |
Gaia DR2 4657685805423735040|084.76618116707|10.5920|-69.07078153214| 8.1746|          |       |         |      |         |      |       |
Gaia DR2 4657685805423552384|084.77176268070| 0.2687|-69.07317484795| 0.3122|    0.0451| 0.2728|    1.985| 0.543|    0.915| 0.636|       |
Gaia DR2 4657685805423737600|084.77495574474| 0.4580|-69.07397026420| 0.5412|   -0.4939| 0.4680|    0.590| 0.905|    2.269| 1.077|       |
Gaia DR2 4657685805423737728|084.77543339482| 5.0877|-69.07018340848| 4.7055|          |       |         |      |         |      |       |
Gaia DR2 4657685805423738112|084.77630884265| 0.8281|-69.07142386137| 1.0774|    0.1766| 0.8671|    1.358| 1.603|    1.166| 2.022|       |
Gaia DR2 4657685809685686016|084.76541929258| 0.3977|-69.06896137370| 0.4363|    0.3712| 0.4126|    2.097| 0.713|   -2.387| 0.829|       |
Gaia DR2 4657685809686454912|084.76612352051| 4.4662|-69.06973036653| 3.5175|          |       |         |      |         |      |       |
Gaia DR2 4657685809686345088|084.76631789001| 1.0347|-69.07343776027| 1.6308|          |       |         |      |         |      |       |
Gaia DR2 4657685805423735168|084.76628200269| 0.6094|-69.06515362705| 0.7265|   -0.3968| 0.5598|    0.279| 1.227|    2.252| 1.410|       |
Gaia DR2 4657685805424053632|084.77627437817| 9.8662|-69.07586989565| 4.3121|          |       |         |      |         |      |       |
Gaia DR2 4657685809685691008|084.76855355529| 0.3322|-69.07056741130| 0.3681|    0.1004| 0.3408|    1.050| 0.650|    2.000| 0.695|       |
Gaia DR2 4657685805374694528|084.76990386670| 0.0462|-69.06941870831| 0.0521|   -0.0717| 0.0480|    1.960| 0.084|    1.027| 0.095|       |
Gaia DR2 4657685809685685888|084.76619142469| 3.3469|-69.06892124078| 8.9091|          |       |         |      |         |      |       |
Gaia DR2 4657685805423553408|084.77638184450| 0.4907|-69.07067889040| 0.5971|   -0.1366| 0.5152|    2.480| 0.914|    1.207| 1.165|       |
Gaia DR2 4657685809706214016|084.77212607632| 0.0450|-69.07115715040| 0.0562|   -0.0626| 0.0476|    1.702| 0.086|    0.598| 0.104|       |
Gaia DR2 4657685809706215168|084.77246944892| 0.0374|-69.07531861798| 0.0440|   -0.0622| 0.0411|    1.723| 0.071|    0.835| 0.085|       |
Gaia DR2 4657686015865129600|084.73918954446|17.0004|-69.06516769838| 8.5743|          |       |         |      |         |      |       |
Gaia DR2 4657686011581855488|084.76094176979| 0.0940|-69.07062271582| 0.1116|   -0.1072| 0.1009|    1.839| 0.179|    0.769| 0.211|       |
Gaia DR2 4657686011582165120|084.76594297946| 0.3891|-69.06402196015| 0.4988|   -0.3158| 0.3967|    1.137| 0.785|    2.028| 0.998|       |
Gaia DR2 4657686011556242176|084.74675883761| 0.1195|-69.06045956613| 0.1496|   -0.0549| 0.1311|    1.951| 0.226|    0.833| 0.268|       |
Gaia DR2 4657686011582161408|084.75998450376| 0.6373|-69.06531732924| 0.6850|    1.2112| 0.6263|    1.600| 1.222|   -0.230| 1.337|       |
Gaia DR2 4657686011582163456|084.76244299576| 2.4474|-69.06327559595| 1.5087|          |       |         |      |         |      |       |
Gaia DR2 4657686015844456064|084.75711541158| 3.6341|-69.06990734566| 2.4400|          |       |         |      |         |      |       |
Gaia DR2 4657686015845129216|084.72521434318| 8.8471|-69.06364623889| 8.8872|          |       |         |      |         |      |       |
Gaia DR2 4657686015844067840|084.72656926895| 0.9620|-69.06402809550| 1.4910|          |       |         |      |         |      |       |
Gaia DR2 4657686015844068864|084.72746187952| 2.6818|-69.06363950342| 6.6365|          |       |         |      |         |      |       |
Gaia DR2 4657686015844068736|084.72823943625|42.5469|-69.06371828431|16.9968|          |       |         |      |         |      |       |
Gaia DR2 4657686015844068480|084.72923556553| 0.5543|-69.06413843248| 0.7026|   -0.0651| 0.4711|    1.717| 1.006|    0.740| 1.167|       |
Gaia DR2 4657686015844622976|084.71967427455| 1.3776|-69.05904030708| 1.3795|   -0.6651| 1.5042|    1.398| 2.387|    1.148| 2.670|       |
Gaia DR2 4657686011556252160|084.75712794051| 2.4100|-69.06206772458| 5.4494|          |       |         |      |         |      |       |
Gaia DR2 4657686080301441664|084.71256016917| 0.4496|-69.06121727338| 0.4285|   -0.0399| 0.4149|    2.579| 0.910|    1.395| 0.862|       |
Gaia DR2 4657686015844081280|084.74352489246| 2.8868|-69.05851498502| 1.5647|          |       |         |      |         |      |       |
Gaia DR2 4657686015864910208|084.73094827365| 1.2089|-69.06451493803| 0.8474|   -0.3685| 0.8101|    1.918| 2.720|   -2.641| 1.581|       |
Gaia DR2 4657686084584084480|084.71342838385| 0.1353|-69.06028169454| 0.1561|    0.0559| 0.1426|    1.772| 0.278|    0.573| 0.302|       |
Gaia DR2 4657686011533124608|084.76575496000| 0.0538|-69.06293099152| 0.0655|   -0.0866| 0.0526|    1.349| 0.104|    0.625| 0.121|       |
Gaia DR2 4657686011582420736|084.73217807282| 4.9285|-69.06121171681| 3.1968|          |       |         |      |         |      |       |
Gaia DR2 4657686011581890304|084.73384108063| 0.1978|-69.06124551502| 0.2064|   -0.4747| 0.1841|    1.735| 0.369|    1.796| 0.390|       |
Gaia DR2 4657686080301363712|084.71082131624| 0.3124|-69.06054239444| 0.2978|   -0.2024| 0.3265|    1.048| 0.578|    1.468| 0.643|       |
Gaia DR2 4657686015865017600|084.75234796497| 8.6806|-69.07102067499| 5.1942|          |       |         |      |         |      |       |
Gaia DR2 4657686015864615552|084.72975950695| 0.0453|-69.05888694779| 0.0575|    0.1621| 0.0524|   12.663| 0.086|   -0.752| 0.106|       |
Gaia DR2 4657686015845213440|084.74037634069| 3.3951|-69.05972186789| 2.8304|          |       |         |      |         |      |       |
Gaia DR2 4657686015864851328|084.72841372643| 4.3329|-69.06058204889| 1.7507|          |       |         |      |         |      |       |
Gaia DR2 4657686011582418176|084.73110304077| 2.4926|-69.06183828743| 2.1189|          |       |         |      |         |      |       |
Gaia DR2 4657686015844882176|084.76274440438| 4.9945|-69.06471687550| 4.9562|          |       |         |      |         |      |       |
Gaia DR2 4657686015844546048|084.73774613726| 2.6589|-69.06524656500| 1.7377|          |       |         |      |         |      |       |
Gaia DR2 4657686015844884352|084.75107398602|10.3770|-69.06534449281| 2.6841|          |       |         |      |         |      |       |
Gaia DR2 4657686015844884096|084.76208634351| 2.0958|-69.06770337326| 1.7756|          |       |         |      |         |      |       |
Gaia DR2 4657686015864613504|084.72399150682| 0.0499|-69.05889646785| 0.0693|   -0.0841| 0.0616|    1.758| 0.095|    0.826| 0.121|       |
Gaia DR2 4657686015864616960|084.72812622696| 0.5604|-69.06357316704| 0.6527|    2.4038| 0.6096|    1.630| 1.019|   -6.226| 1.155|       |
Gaia DR2 4657686015864625280|084.74240008763| 0.7361|-69.06195327993| 0.7893|   -1.2689| 0.7369|    1.272| 1.394|    0.545| 1.506|       |
Gaia DR2 4657686015864619520|084.72969837876| 0.2192|-69.06518661065| 0.2464|    0.2097| 0.2233|    3.003| 0.409|    0.523| 0.454|       |
Gaia DR2 4657686015864850944|084.72152607744| 0.6565|-69.06268386326| 0.7357|   -0.9378| 0.6341|    1.383| 1.531|   -0.318| 1.373|       |
Gaia DR2 4657686080301440768|084.71122667275| 0.2828|-69.05926677961| 0.3465|   -0.1822| 0.3317|    1.334| 0.552|    2.091| 0.684|       |
Gaia DR2 4657686015864618752|084.73137699856| 0.2175|-69.06257418259| 0.2458|   -0.0391| 0.2066|    1.627| 0.432|    0.682| 0.475|       |
Gaia DR2 4657686015864622336|084.74352885660| 0.4127|-69.05810199963| 0.5781|   -0.7633| 0.4957|    0.908| 0.794|    0.803| 1.130|       |
Gaia DR2 4657686011582433152|084.73874486472| 0.0532|-69.06160124995| 0.0647|    0.0409| 0.0579|    1.656| 0.101|    0.690| 0.125|       |
Gaia DR2 4657686015844456192|084.75666162911|13.0251|-69.06976693882|10.3357|          |       |         |      |         |      |       |
Gaia DR2 4657686011581889280|084.72816742797| 0.2212|-69.05782544538| 0.2875|   -0.1621| 0.2506|    2.154| 0.437|    1.111| 0.565|       |
Gaia DR2 4657686011533123712|084.75843578035| 0.3417|-69.07028139019| 0.4018|   -0.3775| 0.3659|    2.014| 0.646|    1.796| 0.766|       |
Gaia DR2 4657686011581968512|084.72018910807| 0.9167|-69.06002343345| 0.8983|   -0.5167| 0.9676|    3.914| 1.871|    2.125| 1.765|       |
Gaia DR2 4657686011581891328|084.75632517337| 0.3185|-69.07145768030| 0.3972|    0.2465| 0.3422|    2.472| 0.591|    1.675| 0.751|       |
Gaia DR2 4657685633599095680|084.72017522338| 0.3388|-69.06321858871| 0.3959|   -0.4862| 0.3433|    1.515| 0.713|   -0.310| 0.708|       |
Gaia DR2 4657686011581890944|084.74613297454| 0.2495|-69.06098833213| 0.2917|   -0.3859| 0.2520|    0.644| 0.500|    0.778| 0.577|       |
Gaia DR2 4657686011581890560|084.73967533573| 0.1706|-69.06165982493| 0.2220|   -0.1279| 0.1727|    1.883| 0.330|    1.740| 0.423|       |
Gaia DR2 4657686011581972224|084.72697677325| 1.1641|-69.06426473294| 0.9731|          |       |         |      |         |      |       |
Gaia DR2 4657686011581891840|084.76366811217| 0.3113|-69.06690727765| 0.3234|   -0.3314| 0.3005|    1.175| 0.588|    1.458| 0.628|       |
Gaia DR2 4657686011581975936|084.74073388145| 1.8434|-69.06060058383| 1.6019|          |       |         |      |         |      |       |
Gaia DR2 4657686011582134272|084.72599324598| 1.0722|-69.06216929590| 0.9912|    0.9662| 1.0279|    4.361| 2.138|   -2.562| 1.846|       |
Gaia DR2 4657686015844454656|084.74508668487| 1.3233|-69.06758146714| 1.2984|          |       |         |      |         |      |       |
Gaia DR2 4657686011581979904|084.75559647659| 0.8071|-69.06098685676| 0.8002|   -1.6611| 0.7551|    0.165| 1.580|    0.803| 1.586|       |
Gaia DR2 4657686011581973504|084.72965817685| 1.1701|-69.06308240702| 1.1467|   -1.2378| 1.1925|    1.004| 2.201|    4.194| 2.255|       |
Gaia DR2 4657686011582143872|084.73484950312| 6.3495|-69.06656405342| 5.7024|          |       |         |      |         |      |       |
Gaia DR2 4657686011582137600|084.72864842063| 0.9406|-69.06032709226| 0.9301|    0.0871| 0.9250|    1.710| 1.737|    1.268| 1.801|       |
Gaia DR2 4657686011556246272|084.75126326917| 0.3010|-69.06224075144| 0.3252|    0.1892| 0.3035|    1.542| 0.558|   -0.081| 0.650|       |
Gaia DR2 4657686011582160640|084.75932780948| 1.6718|-69.06091782195| 1.5776|          |       |         |      |         |      |       |
Gaia DR2 4657686011581842304|084.72859490620| 0.1272|-69.06397594944| 0.1475|    0.1126| 0.1333|    3.285| 0.230|    2.374| 0.251|       |
Gaia DR2 4657686011582158336|084.75591566369| 2.1315|-69.06990478874| 3.9530|          |       |         |      |         |      |       |
Gaia DR2 4657686011582153600|084.74796304243| 0.5062|-69.06026288402| 0.8116|   -0.2825| 0.6655|    1.168| 1.040|    4.446| 2.039|       |
Gaia DR2 4657686011556235648|084.73956896626| 0.0490|-69.06346996262| 0.0573|    0.0079| 0.0523|    1.980| 0.093|    1.036| 0.106|       |
Gaia DR2 4657686011556237056|084.74190914155| 0.3176|-69.05845541733| 0.4898|    0.3402| 0.3655|    1.142| 0.621|    2.698| 0.937|       |
Gaia DR2 4657686011582148352|084.74059013718| 1.0195|-69.06101658640| 0.8564|    0.1481| 0.8299|    4.254| 2.007|   -0.015| 1.674|       |

