#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-12T10:40:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af6a690976a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.05
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#Plx=-0.1..0.1
#-out=e_Plx
#-out=pmRA
#pmRA=!=
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=!=
#-out=e_pmDE
#e_pmDE=<=0.1
#-out=epsi
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.05	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657685534828230528|084.69496390873| 0.0252|-69.10088293708| 0.0256|4657685534828230528|    0.0564| 0.0282|    1.747| 0.048|    0.722| 0.050| 0.106|14.1771|0.0007|       |
Gaia DR2 4657685569167442432|084.67333936405| 0.0409|-69.08706846740| 0.0438|4657685569167442432|   -0.0598| 0.0378|    1.596| 0.076|    0.806| 0.079| 0.000|12.1455|0.0018|       |
Gaia DR2 4657685564856499328|084.66921439322| 0.0317|-69.08224189944| 0.0331|4657685564856499328|    0.0300| 0.0315|    1.567| 0.060|    0.657| 0.063| 0.153|15.1224|0.0016|       |
Gaia DR2 4657685534807606784|084.69653324546| 0.0450|-69.09848306725| 0.0522|4657685534807606784|   -0.0277| 0.0543|    1.903| 0.085|    0.914| 0.091| 0.167|15.7390|0.0018|       |
Gaia DR2 4657685461777222016|084.70945570874| 0.0242|-69.10123931149| 0.0285|4657685461777222016|   -0.0528| 0.0271|    1.710| 0.047|    0.746| 0.054| 0.000|14.9309|0.0008|       |
Gaia DR2 4657685569167418752|084.66451868162| 0.0346|-69.08622240850| 0.0348|4657685569167418752|   -0.0339| 0.0336|    1.753| 0.070|    0.895| 0.067| 0.242|14.5526|0.0009|       |
Gaia DR2 4657685500468567040|084.73779965983| 0.0272|-69.10156907412| 0.0303|4657685500468567040|    0.0037| 0.0283|    1.743| 0.052|    0.794| 0.054| 0.000|11.8292|0.0009|       |
Gaia DR2 4657685569188005248|084.67344046676| 0.0330|-69.08755072156| 0.0325|4657685569188005248|    0.0056| 0.0315|    1.919| 0.065|    0.779| 0.059| 0.000|12.4652|0.0048|       |
Gaia DR2 4657685534828237056|084.66817351320| 0.0396|-69.09551157136| 0.0395|4657685534828237056|    0.0320| 0.0429|    1.830| 0.070|    0.849| 0.077| 0.261|14.9126|0.0016|       |
Gaia DR2 4657685534828070144|084.67852349650| 0.0424|-69.09178474363| 0.0425|4657685534828070144|   -0.0057| 0.0403|    1.919| 0.079|    1.133| 0.082| 0.252|15.4318|0.0019|       |
Gaia DR2 4657685569187906048|084.68570645211| 0.0313|-69.08090237087| 0.0323|4657685569187906048|   -0.0641| 0.0304|    1.612| 0.057|    0.806| 0.060| 0.186|13.8978|0.0009|       |
Gaia DR2 4657685599216262016|084.74977513813| 0.0365|-69.09499593597| 0.0430|4657685599216262016|   -0.0365| 0.0405|    1.833| 0.069|    0.769| 0.079| 0.153|15.4570|0.0010|       |
Gaia DR2 4657685672267107840|084.67658400916| 0.0493|-69.07354411233| 0.0535|4657685672267107840|    0.0564| 0.0500|    1.991| 0.092|    0.758| 0.100| 0.331|15.4297|0.0042|       |
Gaia DR2 4657685637907503744|084.73136339876| 0.0363|-69.07411071795| 0.0483|4657685637907503744|   -0.0221| 0.0436|    1.843| 0.070|    0.786| 0.080| 0.000|15.6556|0.0020|       |
Gaia DR2 4657685706627204992|084.71388023579| 0.0325|-69.06904478310| 0.0356|4657685706627204992|   -0.0193| 0.0319|    1.566| 0.066|    0.732| 0.064| 0.000|15.3512|0.0015|       |
Gaia DR2 4657685706626803200|084.68297059767| 0.0372|-69.05454709619| 0.0479|4657685706626803200|   -0.0858| 0.0447|    1.548| 0.071|    0.835| 0.090| 0.169|15.8374|0.0012|       |
Gaia DR2 4657685672267222144|084.69391453939| 0.0208|-69.07445418421| 0.0226|4657685672267222144|   -0.0324| 0.0220|    1.640| 0.039|    0.773| 0.043| 0.073|13.9614|0.0006|       |
Gaia DR2 4657685667984551552|084.67772797702| 0.0439|-69.07042389371| 0.0428|4657685667984551552|   -0.0908| 0.0418|    1.777| 0.081|    0.345| 0.082| 0.325|14.6439|0.0086|       |
Gaia DR2 4657685637907512320|084.74332007033| 0.0462|-69.07644417124| 0.0519|4657685637907512320|   -0.0174| 0.0488|    1.797| 0.087|    0.651| 0.098| 0.023|16.2367|0.0042|       |
Gaia DR2 4657685672267128320|084.67104853627| 0.0288|-69.07357295395| 0.0305|4657685672267128320|    0.0532| 0.0306|    1.818| 0.054|    0.634| 0.059| 0.200|14.1415|0.0010|       |
Gaia DR2 4657685805374694528|084.76990386670| 0.0462|-69.06941870831| 0.0521|4657685805374694528|   -0.0717| 0.0480|    1.960| 0.084|    1.027| 0.095| 0.356|13.0024|0.0026|       |
Gaia DR2 4657685809706215168|084.77246944892| 0.0374|-69.07531861798| 0.0440|4657685809706215168|   -0.0622| 0.0411|    1.723| 0.071|    0.835| 0.085| 0.180|15.6549|0.0014|       |
Gaia DR2 4657686050224365952|084.75166433967| 0.0393|-69.05849063258| 0.0500|4657686050224365952|   -0.0809| 0.0468|    1.655| 0.075|    0.692| 0.094| 0.205|15.8888|0.0014|       |
Gaia DR2 4657686359461747200|084.60928637880| 0.0372|-69.08383528365| 0.0397|4657686359461747200|    0.0311| 0.0384|    1.976| 0.069|    0.874| 0.082| 0.179|15.4856|0.0013|       |
Gaia DR2 4657686359461699840|084.57091870101| 0.0374|-69.06691618705| 0.0385|4657686359461699840|   -0.0622| 0.0375|    1.527| 0.070|    0.712| 0.075| 0.217|12.8828|0.0093| 264.05| 1.20
Gaia DR2 4657686290721647872|084.64964284220| 0.0392|-69.09305120065| 0.0513|4657686290721647872|    0.0636| 0.0472|    1.793| 0.075|    0.860| 0.089| 0.269|15.2388|0.0026|       |
Gaia DR2 4657686286410997504|084.65403136958| 0.0311|-69.08551760565| 0.0305|4657686286410997504|    0.0471| 0.0288|    1.886| 0.058|    0.908| 0.054| 0.000|12.0089|0.0014|       |
Gaia DR2 4657686325102489600|084.65358624665| 0.0417|-69.08286445147| 0.0457|4657686325102489600|   -0.0016| 0.0398|    1.501| 0.085|    0.695| 0.093| 0.293|14.6544|0.0010|       |
Gaia DR2 4657686290742450048|084.65694364211| 0.0345|-69.09502496861| 0.0382|4657686290742450048|   -0.0084| 0.0352|    1.682| 0.065|    0.759| 0.072| 0.237|14.8318|0.0017|       |
Gaia DR2 4657686290742451072|084.65847207089| 0.0333|-69.09537151337| 0.0343|4657686290742451072|   -0.0331| 0.0316|    1.729| 0.062|    0.848| 0.064| 0.190|14.6226|0.0013|       |
Gaia DR2 4657686355130456448|084.56952639795| 0.0460|-69.07054086887| 0.0469|4657686355130456448|   -0.0651| 0.0454|    1.972| 0.084|    0.632| 0.089| 0.240|12.8456|0.0113|       |
Gaia DR2 4657686355130457088|084.57350095305| 0.0169|-69.06997030835| 0.0176|4657686355130457088|   -0.0167| 0.0169|    1.682| 0.032|    0.580| 0.033| 0.000|13.2984|0.0011| 262.89| 1.94
Gaia DR2 4657686325102023552|084.64158528559| 0.0299|-69.07256167670| 0.0315|4657686325102023552|    0.0160| 0.0296|    1.925| 0.057|    0.777| 0.061| 0.200|14.2728|0.0006|       |
Gaia DR2 4657686290742282112|084.62498482621| 0.0287|-69.08478030102| 0.0310|4657686290742282112|   -0.0024| 0.0298|    1.764| 0.053|    0.729| 0.058| 0.156|14.7899|0.0009|       |
Gaia DR2 4657686290742293888|084.64010281492| 0.0268|-69.08069422563| 0.0281|4657686290742293888|   -0.0045| 0.0271|    1.758| 0.050|    0.674| 0.055| 0.000|12.6989|0.0014|       |
Gaia DR2 4657686286410990464|084.63462617322| 0.0295|-69.08995929971| 0.0321|4657686286410990464|    0.0234| 0.0307|    1.809| 0.055|    0.783| 0.061| 0.214|14.5588|0.0011|       |
Gaia DR2 4657686359461706112|084.57498012030| 0.0325|-69.06934861299| 0.0358|4657686359461706112|    0.0339| 0.0336|    1.656| 0.061|    0.676| 0.068| 0.210|14.9569|0.0009|       |
Gaia DR2 4657686286460115200|084.63753066959| 0.0484|-69.08697161885| 0.0523|4657686286460115200|    0.0685| 0.0494|    1.757| 0.088|    0.478| 0.099| 0.352|15.0682|0.0032|       |
Gaia DR2 4657686393821466240|084.58718895988| 0.0204|-69.06389128337| 0.0216|4657686393821466240|   -0.0195| 0.0198|    1.689| 0.039|    0.665| 0.041| 0.000|13.6380|0.0005|       |
Gaia DR2 4657686286459828992|084.65723134048| 0.0271|-69.08918599797| 0.0297|4657686286459828992|    0.0040| 0.0287|    1.835| 0.050|    0.923| 0.055| 0.215|13.5448|0.0008|       |
Gaia DR2 4657686428181221760|084.63665761968| 0.0330|-69.05542851134| 0.0386|4657686428181221760|   -0.0872| 0.0367|    1.789| 0.063|    0.737| 0.074| 0.195|15.4797|0.0016|       |
Gaia DR2 4657686462540979328|084.65762039139| 0.0358|-69.05805798090| 0.0394|4657686462540979328|   -0.0088| 0.0377|    1.826| 0.067|    0.810| 0.076| 0.255|15.0917|0.0012|       |
Gaia DR2 4657686458209694208|084.66425633686| 0.0409|-69.05214255435| 0.0524|4657686458209694208|    0.0267| 0.0483|    1.796| 0.078|    0.656| 0.096| 0.193|16.0561|0.0017|       |
Gaia DR2 4657686462520312064|084.66598808259| 0.0413|-69.06144172989| 0.0441|4657686462520312064|    0.0942| 0.0428|    1.801| 0.076|    0.617| 0.085| 0.189|15.8132|0.0018|       |

